date,rates.AUD
2016-04-01,1.4884
2016-04-04,1.4917
2016-04-05,1.5085
2016-04-06,1.5029
2016-04-07,1.5092
2016-04-08,1.5091
2016-04-11,1.506
2016-04-12,1.4882
2016-04-13,1.4768
2016-04-14,1.461
2016-04-15,1.4648
2016-04-18,1.4685
2016-04-19,1.4547
2016-04-20,1.4556
2016-04-21,1.4496
2016-04-22,1.457
2016-04-25,1.4587
2016-04-26,1.46
2016-04-27,1.4885
2016-04-28,1.4906
2016-04-29,1.4948
2016-05-02,1.5025
2016-05-03,1.5303
2016-05-04,1.5379
2016-05-05,1.5266
2016-05-06,1.5501
2016-05-09,1.5544
2016-05-10,1.5486
2016-05-11,1.5474
2016-05-12,1.5541
2016-05-13,1.5579
2016-05-16,1.5526
2016-05-17,1.5457
2016-05-18,1.5521
2016-05-19,1.5563
2016-05-20,1.5519
2016-05-23,1.5542
2016-05-24,1.5597
2016-05-25,1.5475
2016-05-26,1.5481
2016-05-27,1.5483
2016-05-30,1.5504
2016-05-31,1.5366
2016-06-01,1.537
2016-06-02,1.5516
2016-06-03,1.5397
2016-06-06,1.5417
2016-06-07,1.526
2016-06-08,1.5228
2016-06-09,1.525
2016-06-10,1.5274
2016-06-13,1.5228
2016-06-17,1.5234
2016-06-21,1.5073
2016-06-24,1.491
2016-06-29,1.4911
2016-07-01,1.4884
2016-07-07,1.4737
2016-07-11,1.4617
2016-07-15,1.4538
2016-07-18,1.4557
2016-07-22,1.4717
2016-07-26,1.4599
2016-07-29,1.4782
2016-08-03,1.475
2016-08-05,1.4567
2016-08-10,1.445
2016-08-12,1.4535
2016-08-18,1.4766
2016-08-19,1.4877
2016-08-25,1.484
2016-08-29,1.479
2016-09-02,1.481
2016-09-06,1.4625
2016-09-09,1.4836
2016-09-14,1.5022
2016-09-16,1.4949
2016-09-21,1.4665
2016-09-23,1.4685
2016-09-28,1.4637
2016-09-30,1.4657
2016-10-06,1.4762
2016-10-10,1.469
2016-10-14,1.4421
2016-10-18,1.4332
2016-10-21,1.4268
2016-10-25,1.4229
2016-10-28,1.4424
2016-11-02,1.4479
2016-11-04,1.4438
2016-11-10,1.4336
2016-11-14,1.4276
2016-11-18,1.4376
2016-11-22,1.4352
2016-11-25,1.423
2016-11-30,1.4291
2016-12-02,1.4333
2016-12-08,1.4406
2016-12-12,1.4174
2016-12-15,1.4109
2016-12-19,1.4351
2016-12-23,1.4566
2016-12-27,1.4532
2016-12-30,1.4596
2017-01-04,1.4373
2017-01-06,1.4433
2017-01-12,1.4205
2017-01-16,1.4172
2017-01-20,1.4115
2017-01-24,1.4198
2017-01-27,1.4169
2017-02-01,1.4225
2017-02-03,1.4057
2017-02-09,1.3965
2017-02-13,1.3867
2017-02-17,1.3892
2017-02-21,1.3762
2017-02-24,1.3816
2017-02-27,1.3796
2017-02-28,1.3807
2017-03-03,1.3956
2017-03-07,1.392
2017-03-10,1.4095
2017-03-15,1.3992
2017-03-17,1.394
2017-03-23,1.4132
2017-03-24,1.4182
2017-03-31,1.3982
