date,rates.CZK
2016-04-01,27.03
2016-04-04,27.046
2016-04-05,27.036
2016-04-06,27.029
2016-04-07,27.025
2016-04-08,27.022
2016-04-11,27.026
2016-04-12,27.03
2016-04-13,27.036
2016-04-14,27.028
2016-04-15,27.025
2016-04-18,27.022
2016-04-19,27.021
2016-04-20,27.021
2016-04-21,27.024
2016-04-22,27.046
2016-04-25,27.047
2016-04-26,27.027
2016-04-27,27.034
2016-04-28,27.045
2016-04-29,27.038
2016-05-02,27.048
2016-05-03,27.037
2016-05-04,27.031
2016-05-05,27.028
2016-05-06,27.021
2016-05-09,27.022
2016-05-10,27.023
2016-05-11,27.022
2016-05-12,27.023
2016-05-13,27.021
2016-05-16,27.023
2016-05-17,27.022
2016-05-18,27.022
2016-05-19,27.023
2016-05-20,27.025
2016-05-23,27.033
2016-05-24,27.025
2016-05-25,27.028
2016-05-26,27.023
2016-05-27,27.028
2016-05-30,27.021
2016-05-31,27.022
2016-06-01,27.027
2016-06-02,27.029
2016-06-03,27.025
2016-06-06,27.023
2016-06-07,27.021
2016-06-08,27.021
2016-06-09,27.021
2016-06-10,27.026
2016-06-13,27.035
2016-06-17,27.069
2016-06-21,27.064
2016-06-24,27.103
2016-06-29,27.114
2016-07-01,27.093
2016-07-07,27.049
2016-07-11,27.037
2016-07-15,27.04
2016-07-18,27.024
2016-07-22,27.023
2016-07-26,27.021
2016-07-29,27.031
2016-08-03,27.034
2016-08-05,27.022
2016-08-10,27.025
2016-08-12,27.018
2016-08-18,27.024
2016-08-19,27.022
2016-08-25,27.026
2016-08-29,27.023
2016-09-02,27.022
2016-09-06,27.021
2016-09-09,27.022
2016-09-14,27.023
2016-09-16,27.024
2016-09-21,27.022
2016-09-23,27.022
2016-09-28,27.023
2016-09-30,27.021
2016-10-06,27.021
2016-10-10,27.021
2016-10-14,27.029
2016-10-18,27.021
2016-10-21,27.021
2016-10-25,27.021
2016-10-28,27.022
2016-11-02,27.022
2016-11-04,27.021
2016-11-10,27.022
2016-11-14,27.026
2016-11-18,27.035
2016-11-22,27.044
2016-11-25,27.039
2016-11-30,27.06
2016-12-02,27.058
2016-12-08,27.038
2016-12-12,27.027
2016-12-15,27.021
2016-12-19,27.021
2016-12-23,27.023
2016-12-27,27.021
2016-12-30,27.021
2017-01-04,27.021
2017-01-06,27.021
2017-01-12,27.021
2017-01-16,27.021
2017-01-20,27.021
2017-01-24,27.021
2017-01-27,27.021
2017-02-01,27.021
2017-02-03,27.021
2017-02-09,27.021
2017-02-13,27.021
2017-02-17,27.021
2017-02-21,27.021
2017-02-24,27.021
2017-02-27,27.021
2017-02-28,27.021
2017-03-03,27.021
2017-03-07,27.021
2017-03-10,27.021
2017-03-15,27.021
2017-03-17,27.021
2017-03-23,27.021
2017-03-24,27.021
2017-03-31,27.03
