date,rates.DKK
2016-04-01,7.4503
2016-04-04,7.4459
2016-04-05,7.4421
2016-04-06,7.4412
2016-04-07,7.4417
2016-04-08,7.4419
2016-04-11,7.4424
2016-04-12,7.4434
2016-04-13,7.4429
2016-04-14,7.4415
2016-04-15,7.4414
2016-04-18,7.4417
2016-04-19,7.4423
2016-04-20,7.443
2016-04-21,7.4411
2016-04-22,7.4413
2016-04-25,7.4418
2016-04-26,7.4418
2016-04-27,7.4428
2016-04-28,7.4432
2016-04-29,7.444
2016-05-02,7.4414
2016-05-03,7.4424
2016-05-04,7.4404
2016-05-05,7.4401
2016-05-06,7.439
2016-05-09,7.4393
2016-05-10,7.4396
2016-05-11,7.4409
2016-05-12,7.4407
2016-05-13,7.4398
2016-05-16,7.4385
2016-05-17,7.4386
2016-05-18,7.4373
2016-05-19,7.4366
2016-05-20,7.437
2016-05-23,7.4371
2016-05-24,7.4365
2016-05-25,7.4369
2016-05-26,7.4367
2016-05-27,7.4367
2016-05-30,7.4369
2016-05-31,7.4376
2016-06-01,7.4385
2016-06-02,7.4383
2016-06-03,7.4382
2016-06-06,7.4377
2016-06-07,7.4364
2016-06-08,7.4364
2016-06-09,7.4362
2016-06-10,7.4356
2016-06-13,7.4356
2016-06-17,7.4362
2016-06-21,7.4358
2016-06-24,7.4371
2016-06-29,7.4376
2016-07-01,7.438
2016-07-07,7.4411
2016-07-11,7.4372
2016-07-15,7.4375
2016-07-18,7.4387
2016-07-22,7.439
2016-07-26,7.4393
2016-07-29,7.4374
2016-08-03,7.4387
2016-08-05,7.4373
2016-08-10,7.4384
2016-08-12,7.4398
2016-08-18,7.4417
2016-08-19,7.4417
2016-08-25,7.4441
2016-08-29,7.4451
2016-09-02,7.4403
2016-09-06,7.4415
2016-09-09,7.4428
2016-09-14,7.4442
2016-09-16,7.4471
2016-09-21,7.4546
2016-09-23,7.4552
2016-09-28,7.4511
2016-09-30,7.4513
2016-10-06,7.4413
2016-10-10,7.4409
2016-10-14,7.4398
2016-10-18,7.4407
2016-10-21,7.4383
2016-10-25,7.4387
2016-10-28,7.4382
2016-11-02,7.4395
2016-11-04,7.4412
2016-11-10,7.4414
2016-11-14,7.4425
2016-11-18,7.4399
2016-11-22,7.4399
2016-11-25,7.438
2016-11-30,7.4403
2016-12-02,7.4398
2016-12-08,7.439
2016-12-12,7.4371
2016-12-15,7.435
2016-12-19,7.4343
2016-12-23,7.4342
2016-12-27,7.4352
2016-12-30,7.4344
2017-01-04,7.4343
2017-01-06,7.4343
2017-01-12,7.4342
2017-01-16,7.4361
2017-01-20,7.4359
2017-01-24,7.4361
2017-01-27,7.4369
2017-02-01,7.437
2017-02-03,7.4376
2017-02-09,7.4347
2017-02-13,7.4359
2017-02-17,7.4334
2017-02-21,7.4333
2017-02-24,7.4344
2017-02-27,7.4331
2017-02-28,7.4332
2017-03-03,7.4337
2017-03-07,7.434
2017-03-10,7.4331
2017-03-15,7.4339
2017-03-17,7.4343
2017-03-23,7.4356
2017-03-24,7.4378
2017-03-31,7.4379
