date,rates.HRK
2016-04-01,7.5105
2016-04-04,7.5115
2016-04-05,7.511
2016-04-06,7.51
2016-04-07,7.5105
2016-04-08,7.496
2016-04-11,7.4875
2016-04-12,7.489
2016-04-13,7.466
2016-04-14,7.4822
2016-04-15,7.5005
2016-04-18,7.505
2016-04-19,7.5005
2016-04-20,7.5023
2016-04-21,7.487
2016-04-22,7.49
2016-04-25,7.4818
2016-04-26,7.4785
2016-04-27,7.4773
2016-04-28,7.48
2016-04-29,7.511
2016-05-02,7.513
2016-05-03,7.51
2016-05-04,7.511
2016-05-05,7.515
2016-05-06,7.502
2016-05-09,7.4793
2016-05-10,7.5034
2016-05-11,7.5218
2016-05-12,7.503
2016-05-13,7.502
2016-05-16,7.4965
2016-05-17,7.4928
2016-05-18,7.488
2016-05-19,7.489
2016-05-20,7.4865
2016-05-23,7.489
2016-05-24,7.495
2016-05-25,7.4968
2016-05-26,7.4951
2016-05-27,7.4905
2016-05-30,7.4848
2016-05-31,7.4895
2016-06-01,7.5118
2016-06-02,7.4975
2016-06-03,7.4958
2016-06-06,7.5075
2016-06-07,7.5128
2016-06-08,7.5285
2016-06-09,7.536
2016-06-10,7.539
2016-06-13,7.5305
2016-06-17,7.521
2016-06-21,7.5185
2016-06-24,7.525
2016-06-29,7.5273
2016-07-01,7.5235
2016-07-07,7.4856
2016-07-11,7.4765
2016-07-15,7.5023
2016-07-18,7.4957
2016-07-22,7.4863
2016-07-26,7.4855
2016-07-29,7.4875
2016-08-03,7.4963
2016-08-05,7.4843
2016-08-10,7.4827
2016-08-12,7.4916
2016-08-18,7.4826
2016-08-19,7.4851
2016-08-25,7.4916
2016-08-29,7.4852
2016-09-02,7.4803
2016-09-06,7.4942
2016-09-09,7.4838
2016-09-14,7.5
2016-09-16,7.5115
2016-09-21,7.508
2016-09-23,7.5005
2016-09-28,7.516
2016-09-30,7.522
2016-10-06,7.512
2016-10-10,7.505
2016-10-14,7.5073
2016-10-18,7.5023
2016-10-21,7.508
2016-10-25,7.503
2016-10-28,7.5068
2016-11-02,7.513
2016-11-04,7.5135
2016-11-10,7.5045
2016-11-14,7.5105
2016-11-18,7.532
2016-11-22,7.53
2016-11-25,7.5318
2016-11-30,7.5378
2016-12-02,7.5445
2016-12-08,7.5355
2016-12-12,7.5335
2016-12-15,7.5413
2016-12-19,7.535
2016-12-23,7.538
2016-12-27,7.5565
2016-12-30,7.5597
2017-01-04,7.5738
2017-01-06,7.578
2017-01-12,7.5365
2017-01-16,7.5318
2017-01-20,7.5165
2017-01-24,7.5045
2017-01-27,7.4818
2017-02-01,7.4645
2017-02-03,7.4331
2017-02-09,7.4695
2017-02-13,7.4485
2017-02-17,7.441
2017-02-21,7.452
2017-02-24,7.4275
2017-02-27,7.428
2017-02-28,7.4365
2017-03-03,7.4163
2017-03-07,7.409
2017-03-10,7.419
2017-03-15,7.4298
2017-03-17,7.4133
2017-03-23,7.4178
2017-03-24,7.4198
2017-03-31,7.4465
