date,rates.HUF
2016-04-01,313.3
2016-04-04,312.29
2016-04-05,312.62
2016-04-06,312.33
2016-04-07,312.28
2016-04-08,312.67
2016-04-11,312.07
2016-04-12,311.38
2016-04-13,310.73
2016-04-14,311.25
2016-04-15,310.54
2016-04-18,310.33
2016-04-19,310.51
2016-04-20,309.05
2016-04-21,310.7
2016-04-22,310.1
2016-04-25,311.3
2016-04-26,312.2
2016-04-27,312.12
2016-04-28,310.7
2016-04-29,312.23
2016-05-02,310.84
2016-05-03,311.85
2016-05-04,312.58
2016-05-05,312.84
2016-05-06,313.68
2016-05-09,315.05
2016-05-10,314.5
2016-05-11,315.3
2016-05-12,314.91
2016-05-13,315.17
2016-05-16,315.5
2016-05-17,315.25
2016-05-18,316.05
2016-05-19,316.62
2016-05-20,316.78
2016-05-23,317.05
2016-05-24,316
2016-05-25,314.29
2016-05-26,314.39
2016-05-27,314.21
2016-05-30,313.81
2016-05-31,314.11
2016-06-01,314.11
2016-06-02,313.02
2016-06-03,312.44
2016-06-06,311.45
2016-06-07,310.48
2016-06-08,310.09
2016-06-09,311.44
2016-06-10,311.39
2016-06-13,312.37
2016-06-17,314.26
2016-06-21,314.08
2016-06-24,317.9
2016-06-29,316.95
2016-07-01,316.52
2016-07-07,315.52
2016-07-11,313.07
2016-07-15,314.95
2016-07-18,315.01
2016-07-22,313.34
2016-07-26,313.16
2016-07-29,312.19
2016-08-03,311
2016-08-05,310.62
2016-08-10,310.41
2016-08-12,310.02
2016-08-18,310.42
2016-08-19,310.28
2016-08-25,309.8
2016-08-29,308.76
2016-09-02,310.13
2016-09-06,309.8
2016-09-09,308.61
2016-09-14,309.95
2016-09-16,309.14
2016-09-21,308.55
2016-09-23,305.51
2016-09-28,307.95
2016-09-30,309.79
2016-10-06,305.07
2016-10-10,304.65
2016-10-14,305.31
2016-10-18,306.93
2016-10-21,308.3
2016-10-25,308.16
2016-10-28,309.46
2016-11-02,308.06
2016-11-04,306.13
2016-11-10,307.3
2016-11-14,310.13
2016-11-18,309.49
2016-11-22,308.89
2016-11-25,309.33
2016-11-30,311.51
2016-12-02,313.93
2016-12-08,314.29
2016-12-12,314.02
2016-12-15,313.17
2016-12-19,311.79
2016-12-23,309.68
2016-12-27,309.13
2016-12-30,309.83
2017-01-04,308.35
2017-01-06,307.24
2017-01-12,307.15
2017-01-16,307.38
2017-01-20,309.09
2017-01-24,310.27
2017-01-27,311.63
2017-02-01,309.78
2017-02-03,309.46
2017-02-09,308.75
2017-02-13,308.02
2017-02-17,308.32
2017-02-21,306.9
2017-02-24,308.59
2017-02-27,307.69
2017-02-28,308.25
2017-03-03,309.68
2017-03-07,309.52
2017-03-10,312.27
2017-03-15,310.83
2017-03-17,308.55
2017-03-23,309.22
2017-03-24,309.81
2017-03-31,307.62
