date,rates.IDR
2016-04-01,15008
2016-04-04,14962
2016-04-05,15036
2016-04-06,15025
2016-04-07,14955
2016-04-08,14937
2016-04-11,14956
2016-04-12,14918
2016-04-13,14867
2016-04-14,14844
2016-04-15,14863
2016-04-18,14891
2016-04-19,14858
2016-04-20,14974
2016-04-21,14903
2016-04-22,14871
2016-04-25,14864
2016-04-26,14918
2016-04-27,14915
2016-04-28,14977
2016-04-29,15035
2016-05-02,15125
2016-05-03,15277
2016-05-04,15320
2016-05-05,15261
2016-05-06,15277
2016-05-09,15136
2016-05-10,15138
2016-05-11,15155
2016-05-12,15131
2016-05-13,15113
2016-05-16,15070
2016-05-17,15075
2016-05-18,15101
2016-05-19,15245
2016-05-20,15286
2016-05-23,15233
2016-05-24,15278
2016-05-25,15204
2016-05-26,15192
2016-05-27,15157
2016-05-30,15199
2016-05-31,15180
2016-06-01,15274
2016-06-02,15269
2016-06-03,15146
2016-06-06,15162
2016-06-07,15033
2016-06-08,15026
2016-06-09,15073
2016-06-10,15029
2016-06-13,15011
2016-06-17,14997
2016-06-21,15005
2016-06-24,14838
2016-06-29,14577
2016-07-01,14598
2016-07-07,14603
2016-07-11,14477
2016-07-15,14564
2016-07-18,14469
2016-07-22,14445
2016-07-26,14489
2016-07-29,14560
2016-08-03,14739
2016-08-05,14618
2016-08-10,14628
2016-08-12,14624
2016-08-18,14871
2016-08-19,14941
2016-08-25,14974
2016-08-29,14819
2016-09-02,14827
2016-09-06,14637
2016-09-09,14797
2016-09-14,14846
2016-09-16,14771
2016-09-21,14646
2016-09-23,14664
2016-09-28,14534
2016-09-30,14566
2016-10-06,14561
2016-10-10,14483
2016-10-14,14359
2016-10-18,14324
2016-10-21,14232
2016-10-25,14140
2016-10-28,14254
2016-11-02,14481
2016-11-04,14519
2016-11-10,14474
2016-11-14,14395
2016-11-18,14272
2016-11-22,14254
2016-11-25,14318
2016-11-30,14413
2016-12-02,14388
2016-12-08,14299
2016-12-12,14122
2016-12-15,13988
2016-12-19,13963
2016-12-23,14034
2016-12-27,14047
2016-12-30,14173
2017-01-04,13969
2017-01-06,14152
2017-01-12,14151
2017-01-16,14160
2017-01-20,14258
2017-01-24,14319
2017-01-27,14277
2017-02-01,14424
2017-02-03,14334
2017-02-09,14172
2017-02-13,14159
2017-02-17,14199
2017-02-21,14091
2017-02-24,14128
2017-02-27,14147
2017-02-28,14132
2017-03-03,14139
2017-03-07,14116
2017-03-10,14186
2017-03-15,14191
2017-03-17,14329
2017-03-23,14364
2017-03-24,14399
2017-03-31,14238
