date,rates.ILS
2016-04-01,4.3182
2016-04-04,4.3079
2016-04-05,4.323
2016-04-06,4.3296
2016-04-07,4.3087
2016-04-08,4.3006
2016-04-11,4.3075
2016-04-12,4.2923
2016-04-13,4.2697
2016-04-14,4.2642
2016-04-15,4.2675
2016-04-18,4.2702
2016-04-19,4.2746
2016-04-20,4.2766
2016-04-21,4.2705
2016-04-22,4.2401
2016-04-25,4.2447
2016-04-26,4.2484
2016-04-27,4.2542
2016-04-28,4.2697
2016-04-29,4.2666
2016-05-02,4.3056
2016-05-03,4.3376
2016-05-04,4.3407
2016-05-05,4.3221
2016-05-06,4.3191
2016-05-09,4.3089
2016-05-10,4.3042
2016-05-11,4.295
2016-05-12,4.2833
2016-05-13,4.2824
2016-05-16,4.318
2016-05-17,4.323
2016-05-18,4.3277
2016-05-19,4.3208
2016-05-20,4.3523
2016-05-23,4.3459
2016-05-24,4.3129
2016-05-25,4.2949
2016-05-26,4.2839
2016-05-27,4.2938
2016-05-30,4.2847
2016-05-31,4.2961
2016-06-01,4.3042
2016-06-02,4.3105
2016-06-03,4.3239
2016-06-06,4.3502
2016-06-07,4.3356
2016-06-08,4.3531
2016-06-09,4.361
2016-06-10,4.3532
2016-06-13,4.3609
2016-06-17,4.3572
2016-06-21,4.3667
2016-06-24,4.3113
2016-06-29,4.2793
2016-07-01,4.2795
2016-07-07,4.3006
2016-07-11,4.2913
2016-07-15,4.2818
2016-07-18,4.265
2016-07-22,4.2232
2016-07-26,4.226
2016-07-29,4.2494
2016-08-03,4.2811
2016-08-05,4.2633
2016-08-10,4.2597
2016-08-12,4.2553
2016-08-18,4.2787
2016-08-19,4.2676
2016-08-25,4.2482
2016-08-29,4.2319
2016-09-02,4.2135
2016-09-06,4.2005
2016-09-09,4.2293
2016-09-14,4.247
2016-09-16,4.2245
2016-09-21,4.2102
2016-09-23,4.2161
2016-09-28,4.2148
2016-09-30,4.1996
2016-10-06,4.2301
2016-10-10,4.2292
2016-10-14,4.2026
2016-10-18,4.2084
2016-10-21,4.1993
2016-10-25,4.1863
2016-10-28,4.2121
2016-11-02,4.2334
2016-11-04,4.2197
2016-11-10,4.1841
2016-11-14,4.1499
2016-11-18,4.1163
2016-11-22,4.1041
2016-11-25,4.1047
2016-11-30,4.085
2016-12-02,4.0772
2016-12-08,4.0768
2016-12-12,4.0497
2016-12-15,4.0062
2016-12-19,4.0309
2016-12-23,3.995
2016-12-27,4.0261
2016-12-30,4.0477
2017-01-04,4.0252
2017-01-06,4.0618
2017-01-12,4.0804
2017-01-16,4.0549
2017-01-20,4.05
2017-01-24,4.0711
2017-01-27,4.0453
2017-02-01,4.0662
2017-02-03,4.0323
2017-02-09,4.0077
2017-02-13,3.9885
2017-02-17,3.947
2017-02-21,3.9011
2017-02-24,3.9241
2017-02-27,3.889
2017-02-28,3.8782
2017-03-03,3.9133
2017-03-07,3.8885
2017-03-10,3.9086
2017-03-15,3.885
2017-03-17,3.8979
2017-03-23,3.9322
2017-03-24,3.9347
2017-03-31,3.8853
