date,rates.JPY
2016-04-01,128.07
2016-04-04,126.97
2016-04-05,125.81
2016-04-06,125.13
2016-04-07,123.15
2016-04-08,123.36
2016-04-11,123.28
2016-04-12,123.44
2016-04-13,123.47
2016-04-14,123.09
2016-04-15,122.91
2016-04-18,122.32
2016-04-19,124.1
2016-04-20,124.2
2016-04-21,124.5
2016-04-22,124.86
2016-04-25,124.95
2016-04-26,125.45
2016-04-27,125.79
2016-04-28,122.84
2016-04-29,122.34
2016-05-02,122.47
2016-05-03,122.53
2016-05-04,122.62
2016-05-05,122.51
2016-05-06,122.23
2016-05-09,123.39
2016-05-10,124.12
2016-05-11,124.09
2016-05-12,124.5
2016-05-13,123.56
2016-05-16,123.27
2016-05-17,123.93
2016-05-18,123.38
2016-05-19,123.17
2016-05-20,123.81
2016-05-23,122.7
2016-05-24,122.56
2016-05-25,122.79
2016-05-26,122.93
2016-05-27,122.46
2016-05-30,123.85
2016-05-31,123.83
2016-06-01,122.07
2016-06-02,121.96
2016-06-03,121.47
2016-06-06,121.58
2016-06-07,122.16
2016-06-08,121.77
2016-06-09,120.72
2016-06-10,120.79
2016-06-13,119.51
2016-06-17,117.34
2016-06-21,118.39
2016-06-24,113.23
2016-06-29,113.85
2016-07-01,114.29
2016-07-07,111.9
2016-07-11,113.23
2016-07-15,117.63
2016-07-18,116.82
2016-07-22,116.86
2016-07-26,114.67
2016-07-29,114.83
2016-08-03,113.22
2016-08-05,112.73
2016-08-10,113.09
2016-08-12,113.77
2016-08-18,113.6
2016-08-19,113.53
2016-08-25,113.45
2016-08-29,114.24
2016-09-02,115.83
2016-09-06,115.39
2016-09-09,115.85
2016-09-14,115.37
2016-09-16,114.35
2016-09-21,112.49
2016-09-23,113.02
2016-09-28,112.93
2016-09-30,113.09
2016-10-06,116
2016-10-10,115.39
2016-10-14,114.76
2016-10-18,114.37
2016-10-21,112.96
2016-10-25,113.65
2016-10-28,115.1
2016-11-02,114.62
2016-11-04,114.24
2016-11-10,116.4
2016-11-14,116.27
2016-11-18,116.95
2016-11-22,117.74
2016-11-25,119.73
2016-11-30,120.48
2016-12-02,121.2
2016-12-08,122.61
2016-12-12,122.69
2016-12-15,123.03
2016-12-19,122.19
2016-12-23,122.6
2016-12-27,122.61
2016-12-30,123.4
2017-01-04,122.64
2017-01-06,122.83
2017-01-12,121.69
2017-01-16,120.91
2017-01-20,122.47
2017-01-24,121.85
2017-01-27,123.01
2017-02-01,122.25
2017-02-03,121.49
2017-02-09,120.04
2017-02-13,120.9
2017-02-17,120.08
2017-02-21,119.77
2017-02-24,119.04
2017-02-27,118.87
2017-02-28,118.83
2017-03-03,120.83
2017-03-07,120.61
2017-03-10,122.42
2017-03-15,121.77
2017-03-17,121.49
2017-03-23,119.36
2017-03-24,120.09
2017-03-31,119.55
