date,rates.MYR
2016-04-01,4.4382
2016-04-04,4.4317
2016-04-05,4.4635
2016-04-06,4.466
2016-04-07,4.4705
2016-04-08,4.4433
2016-04-11,4.4307
2016-04-12,4.4273
2016-04-13,4.3852
2016-04-14,4.3737
2016-04-15,4.4085
2016-04-18,4.4404
2016-04-19,4.37
2016-04-20,4.395
2016-04-21,4.4105
2016-04-22,4.3943
2016-04-25,4.3982
2016-04-26,4.4279
2016-04-27,4.4318
2016-04-28,4.4251
2016-04-29,4.4546
2016-05-02,4.4875
2016-05-03,4.5735
2016-05-04,4.612
2016-05-05,4.5819
2016-05-06,4.5845
2016-05-09,4.5854
2016-05-10,4.6196
2016-05-11,4.6035
2016-05-12,4.5704
2016-05-13,4.5731
2016-05-16,4.5639
2016-05-17,4.5481
2016-05-18,4.5697
2016-05-19,4.5808
2016-05-20,4.5785
2016-05-23,4.5816
2016-05-24,4.5959
2016-05-25,4.5711
2016-05-26,4.5435
2016-05-27,4.5554
2016-05-30,4.5865
2016-05-31,4.594
2016-06-01,4.6409
2016-06-02,4.6495
2016-06-03,4.6261
2016-06-06,4.6472
2016-06-07,4.605
2016-06-08,4.5811
2016-06-09,4.5911
2016-06-10,4.5985
2016-06-13,4.6108
2016-06-17,4.6153
2016-06-21,4.5563
2016-06-24,4.5511
2016-06-29,4.4594
2016-07-01,4.4376
2016-07-07,4.4636
2016-07-11,4.411
2016-07-15,4.3932
2016-07-18,4.3971
2016-07-22,4.4696
2016-07-26,4.4693
2016-07-29,4.52
2016-08-03,4.5413
2016-08-05,4.4927
2016-08-10,4.4624
2016-08-12,4.4915
2016-08-18,4.5281
2016-08-19,4.5534
2016-08-25,4.5474
2016-08-29,4.5183
2016-09-02,4.574
2016-09-06,4.5545
2016-09-09,4.61
2016-09-14,4.6333
2016-09-16,4.6441
2016-09-21,4.6125
2016-09-23,4.6028
2016-09-28,4.6434
2016-09-30,4.6148
2016-10-06,4.6563
2016-10-10,4.6353
2016-10-14,4.6128
2016-10-18,4.6086
2016-10-21,4.5569
2016-10-25,4.5142
2016-10-28,4.596
2016-11-02,4.6366
2016-11-04,4.6661
2016-11-10,4.6883
2016-11-14,4.687
2016-11-18,4.681
2016-11-22,4.6938
2016-11-25,4.7203
2016-11-30,4.7496
2016-12-02,4.7384
2016-12-08,4.759
2016-12-12,4.675
2016-12-15,4.6596
2016-12-19,4.667
2016-12-23,4.6735
2016-12-27,4.6785
2016-12-30,4.7287
2017-01-04,4.694
2017-01-06,4.7359
2017-01-12,4.7607
2017-01-16,4.7313
2017-01-20,4.7285
2017-01-24,4.7667
2017-01-27,4.7333
2017-02-01,4.7782
2017-02-03,4.7561
2017-02-09,4.7462
2017-02-13,4.7283
2017-02-17,4.7424
2017-02-21,4.6973
2017-02-24,4.7109
2017-02-27,4.699
2017-02-28,4.7051
2017-03-03,4.7062
2017-03-07,4.7038
2017-03-10,4.7231
2017-03-15,4.7258
2017-03-17,4.7624
2017-03-23,4.7771
2017-03-24,4.78
2017-03-31,4.7313
