date,rates.NOK
2016-04-01,9.4401
2016-04-04,9.4359
2016-04-05,9.4995
2016-04-06,9.476
2016-04-07,9.4546
2016-04-08,9.4183
2016-04-11,9.3809
2016-04-12,9.3515
2016-04-13,9.3113
2016-04-14,9.264
2016-04-15,9.3044
2016-04-18,9.3325
2016-04-19,9.2578
2016-04-20,9.2336
2016-04-21,9.2015
2016-04-22,9.2443
2016-04-25,9.2735
2016-04-26,9.2278
2016-04-27,9.2013
2016-04-28,9.246
2016-04-29,9.215
2016-05-02,9.233
2016-05-03,9.309
2016-05-04,9.341
2016-05-05,9.2985
2016-05-06,9.3513
2016-05-09,9.333
2016-05-10,9.352
2016-05-11,9.3475
2016-05-12,9.232
2016-05-13,9.2678
2016-05-16,9.237
2016-05-17,9.2558
2016-05-18,9.2785
2016-05-19,9.3593
2016-05-20,9.3355
2016-05-23,9.3658
2016-05-24,9.3355
2016-05-25,9.2945
2016-05-26,9.247
2016-05-27,9.282
2016-05-30,9.3025
2016-05-31,9.32
2016-06-01,9.3083
2016-06-02,9.336
2016-06-03,9.2853
2016-06-06,9.2935
2016-06-07,9.2225
2016-06-08,9.2055
2016-06-09,9.2489
2016-06-10,9.2725
2016-06-13,9.3265
2016-06-17,9.431
2016-06-21,9.3718
2016-06-24,9.42
2016-06-29,9.3065
2016-07-01,9.2975
2016-07-07,9.3782
2016-07-11,9.4061
2016-07-15,9.3183
2016-07-18,9.3627
2016-07-22,9.3847
2016-07-26,9.437
2016-07-29,9.5092
2016-08-03,9.4236
2016-08-05,9.4022
2016-08-10,9.2571
2016-08-12,9.1635
2016-08-18,9.2389
2016-08-19,9.3048
2016-08-25,9.2771
2016-08-29,9.2731
2016-09-02,9.317
2016-09-06,9.2113
2016-09-09,9.247
2016-09-14,9.2748
2016-09-16,9.2625
2016-09-21,9.2318
2016-09-23,9.1028
2016-09-28,9.0888
2016-09-30,8.9865
2016-10-06,8.9938
2016-10-10,9.0448
2016-10-14,9.0248
2016-10-18,8.9565
2016-10-21,8.9538
2016-10-25,8.9868
2016-10-28,9.0445
2016-11-02,9.0735
2016-11-04,9.1098
2016-11-10,9.0733
2016-11-14,9.135
2016-11-18,9.1038
2016-11-22,9.0563
2016-11-25,9.069
2016-11-30,9.019
2016-12-02,8.986
2016-12-08,9.0145
2016-12-12,8.9498
2016-12-15,8.9993
2016-12-19,9.0485
2016-12-23,9.0928
2016-12-27,9.1078
2016-12-30,9.0863
2017-01-04,8.9905
2017-01-06,8.9868
2017-01-12,9.0625
2017-01-16,9.0558
2017-01-20,8.999
2017-01-24,8.9578
2017-01-27,8.919
2017-02-01,8.883
2017-02-03,8.8568
2017-02-09,8.886
2017-02-13,8.9018
2017-02-17,8.8645
2017-02-21,8.8138
2017-02-24,8.8365
2017-02-27,8.8383
2017-02-28,8.8693
2017-03-03,8.9303
2017-03-07,8.9443
2017-03-10,9.1405
2017-03-15,9.1353
2017-03-17,9.1023
2017-03-23,9.1478
2017-03-24,9.1793
2017-03-31,9.1683
