date,rates.NZD
2016-04-01,1.6518
2016-04-04,1.6605
2016-04-05,1.678
2016-04-06,1.6705
2016-04-07,1.6731
2016-04-08,1.6757
2016-04-11,1.6669
2016-04-12,1.654
2016-04-13,1.6337
2016-04-14,1.6395
2016-04-15,1.6334
2016-04-18,1.6303
2016-04-19,1.6127
2016-04-20,1.6231
2016-04-21,1.6262
2016-04-22,1.6364
2016-04-25,1.6399
2016-04-26,1.6417
2016-04-27,1.6504
2016-04-28,1.6287
2016-04-29,1.6357
2016-05-02,1.6368
2016-05-03,1.6572
2016-05-04,1.6669
2016-05-05,1.6577
2016-05-06,1.6702
2016-05-09,1.6746
2016-05-10,1.6884
2016-05-11,1.6763
2016-05-12,1.6724
2016-05-13,1.6692
2016-05-16,1.6657
2016-05-17,1.6651
2016-05-18,1.6666
2016-05-19,1.6614
2016-05-20,1.6578
2016-05-23,1.6538
2016-05-24,1.6604
2016-05-25,1.6488
2016-05-26,1.6591
2016-05-27,1.6586
2016-05-30,1.6624
2016-05-31,1.6516
2016-06-01,1.6373
2016-06-02,1.6474
2016-06-03,1.6287
2016-06-06,1.6378
2016-06-07,1.632
2016-06-08,1.6226
2016-06-09,1.5936
2016-06-10,1.595
2016-06-13,1.5949
2016-06-17,1.5959
2016-06-21,1.5804
2016-06-24,1.5613
2016-06-29,1.5565
2016-07-01,1.5508
2016-07-07,1.5338
2016-07-11,1.525
2016-07-15,1.5534
2016-07-18,1.5555
2016-07-22,1.5748
2016-07-26,1.5561
2016-07-29,1.5615
2016-08-03,1.5577
2016-08-05,1.5473
2016-08-10,1.5418
2016-08-12,1.5497
2016-08-18,1.5578
2016-08-19,1.5606
2016-08-25,1.5453
2016-08-29,1.5438
2016-09-02,1.5329
2016-09-06,1.5205
2016-09-09,1.5299
2016-09-14,1.544
2016-09-16,1.5367
2016-09-21,1.517
2016-09-23,1.5435
2016-09-28,1.5459
2016-09-30,1.5369
2016-10-06,1.5647
2016-10-10,1.5647
2016-10-14,1.5508
2016-10-18,1.528
2016-10-21,1.519
2016-10-25,1.5208
2016-10-28,1.5296
2016-11-02,1.5232
2016-11-04,1.5169
2016-11-10,1.5132
2016-11-14,1.5193
2016-11-18,1.5073
2016-11-22,1.5033
2016-11-25,1.504
2016-11-30,1.4911
2016-12-02,1.499
2016-12-08,1.4973
2016-12-12,1.4793
2016-12-15,1.4752
2016-12-19,1.5023
2016-12-23,1.5195
2016-12-27,1.5168
2016-12-30,1.5158
2017-01-04,1.5024
2017-01-06,1.5073
2017-01-12,1.498
2017-01-16,1.4916
2017-01-20,1.4891
2017-01-24,1.4852
2017-01-27,1.4726
2017-02-01,1.4817
2017-02-03,1.4781
2017-02-09,1.4803
2017-02-13,1.4808
2017-02-17,1.4809
2017-02-21,1.4757
2017-02-24,1.4711
2017-02-27,1.4701
2017-02-28,1.4707
2017-03-03,1.5011
2017-03-07,1.5153
2017-03-10,1.5348
2017-03-15,1.5277
2017-03-17,1.5318
2017-03-23,1.5303
2017-03-24,1.5401
2017-03-31,1.5309
