date,rates.PLN
2016-04-01,4.244
2016-04-04,4.234
2016-04-05,4.2448
2016-04-06,4.2636
2016-04-07,4.2833
2016-04-08,4.2953
2016-04-11,4.2793
2016-04-12,4.2923
2016-04-13,4.2869
2016-04-14,4.2992
2016-04-15,4.2967
2016-04-18,4.3059
2016-04-19,4.3027
2016-04-20,4.2875
2016-04-21,4.3085
2016-04-22,4.3506
2016-04-25,4.3911
2016-04-26,4.3799
2016-04-27,4.3918
2016-04-28,4.388
2016-04-29,4.3965
2016-05-02,4.3833
2016-05-03,4.3844
2016-05-04,4.3936
2016-05-05,4.4234
2016-05-06,4.4198
2016-05-09,4.4142
2016-05-10,4.4201
2016-05-11,4.4244
2016-05-12,4.4193
2016-05-13,4.3929
2016-05-16,4.3718
2016-05-17,4.3621
2016-05-18,4.3885
2016-05-19,4.3928
2016-05-20,4.4203
2016-05-23,4.4367
2016-05-24,4.4358
2016-05-25,4.4205
2016-05-26,4.4108
2016-05-27,4.3912
2016-05-30,4.394
2016-05-31,4.3865
2016-06-01,4.3978
2016-06-02,4.3903
2016-06-03,4.3861
2016-06-06,4.3776
2016-06-07,4.3486
2016-06-08,4.3228
2016-06-09,4.3321
2016-06-10,4.3591
2016-06-13,4.3884
2016-06-17,4.4463
2016-06-21,4.3991
2016-06-24,4.455
2016-06-29,4.4261
2016-07-01,4.3966
2016-07-07,4.4275
2016-07-11,4.421
2016-07-15,4.4099
2016-07-18,4.3805
2016-07-22,4.3554
2016-07-26,4.3629
2016-07-29,4.363
2016-08-03,4.313
2016-08-05,4.2841
2016-08-10,4.2684
2016-08-12,4.2658
2016-08-18,4.2925
2016-08-19,4.2992
2016-08-25,4.3123
2016-08-29,4.3314
2016-09-02,4.3914
2016-09-06,4.3388
2016-09-09,4.3345
2016-09-14,4.342
2016-09-16,4.3167
2016-09-21,4.2915
2016-09-23,4.2869
2016-09-28,4.2893
2016-09-30,4.3192
2016-10-06,4.2928
2016-10-10,4.2821
2016-10-14,4.302
2016-10-18,4.3184
2016-10-21,4.3251
2016-10-25,4.3042
2016-10-28,4.3307
2016-11-02,4.3255
2016-11-04,4.3188
2016-11-10,4.3588
2016-11-14,4.406
2016-11-18,4.4429
2016-11-22,4.4205
2016-11-25,4.419
2016-11-30,4.4483
2016-12-02,4.4892
2016-12-08,4.454
2016-12-12,4.453
2016-12-15,4.445
2016-12-19,4.411
2016-12-23,4.4098
2016-12-27,4.409
2016-12-30,4.4103
2017-01-04,4.3778
2017-01-06,4.3552
2017-01-12,4.3765
2017-01-16,4.3729
2017-01-20,4.3699
2017-01-24,4.3725
2017-01-27,4.34
2017-02-01,4.3186
2017-02-03,4.2972
2017-02-09,4.3096
2017-02-13,4.3137
2017-02-17,4.3305
2017-02-21,4.3064
2017-02-24,4.3107
2017-02-27,4.3148
2017-02-28,4.3148
2017-03-03,4.3007
2017-03-07,4.3075
2017-03-10,4.3259
2017-03-15,4.3206
2017-03-17,4.2982
2017-03-23,4.2685
2017-03-24,4.2695
2017-03-31,4.2265
