date,rates.RON
2016-04-01,4.4693
2016-04-04,4.4648
2016-04-05,4.466
2016-04-06,4.4685
2016-04-07,4.4659
2016-04-08,4.4685
2016-04-11,4.4675
2016-04-12,4.4708
2016-04-13,4.47
2016-04-14,4.4728
2016-04-15,4.4728
2016-04-18,4.4749
2016-04-19,4.4813
2016-04-20,4.4827
2016-04-21,4.4815
2016-04-22,4.4753
2016-04-25,4.4801
2016-04-26,4.4747
2016-04-27,4.464
2016-04-28,4.4723
2016-04-29,4.477
2016-05-02,4.4815
2016-05-03,4.4879
2016-05-04,4.492
2016-05-05,4.5035
2016-05-06,4.5005
2016-05-09,4.4905
2016-05-10,4.4885
2016-05-11,4.4915
2016-05-12,4.4998
2016-05-13,4.4975
2016-05-16,4.4876
2016-05-17,4.4865
2016-05-18,4.499
2016-05-19,4.5043
2016-05-20,4.5058
2016-05-23,4.521
2016-05-24,4.5083
2016-05-25,4.5091
2016-05-26,4.507
2016-05-27,4.5034
2016-05-30,4.5033
2016-05-31,4.5108
2016-06-01,4.5178
2016-06-02,4.52
2016-06-03,4.5188
2016-06-06,4.5192
2016-06-07,4.5073
2016-06-08,4.5064
2016-06-09,4.5095
2016-06-10,4.5148
2016-06-13,4.5178
2016-06-17,4.5355
2016-06-21,4.5408
2016-06-24,4.5345
2016-06-29,4.5253
2016-07-01,4.5157
2016-07-07,4.5144
2016-07-11,4.4938
2016-07-15,4.4802
2016-07-18,4.4686
2016-07-22,4.4609
2016-07-26,4.4657
2016-07-29,4.4655
2016-08-03,4.455
2016-08-05,4.4622
2016-08-10,4.4585
2016-08-12,4.459
2016-08-18,4.4687
2016-08-19,4.4658
2016-08-25,4.4526
2016-08-29,4.4576
2016-09-02,4.4525
2016-09-06,4.4513
2016-09-09,4.4495
2016-09-14,4.4475
2016-09-16,4.4501
2016-09-21,4.4495
2016-09-23,4.4475
2016-09-28,4.4506
2016-09-30,4.4537
2016-10-06,4.476
2016-10-10,4.5035
2016-10-14,4.504
2016-10-18,4.511
2016-10-21,4.5043
2016-10-25,4.4901
2016-10-28,4.5005
2016-11-02,4.5028
2016-11-04,4.4995
2016-11-10,4.5023
2016-11-14,4.5183
2016-11-18,4.515
2016-11-22,4.5117
2016-11-25,4.514
2016-11-30,4.504
2016-12-02,4.5095
2016-12-08,4.502
2016-12-12,4.5073
2016-12-15,4.5223
2016-12-19,4.5179
2016-12-23,4.5318
2016-12-27,4.5313
2016-12-30,4.539
2017-01-04,4.5086
2017-01-06,4.5013
2017-01-12,4.4913
2017-01-16,4.5023
2017-01-20,4.494
2017-01-24,4.5015
2017-01-27,4.5058
2017-02-01,4.5478
2017-02-03,4.5158
2017-02-09,4.4945
2017-02-13,4.5022
2017-02-17,4.5223
2017-02-21,4.5151
2017-02-24,4.517
2017-02-27,4.5129
2017-02-28,4.5202
2017-03-03,4.5328
2017-03-07,4.5384
2017-03-10,4.549
2017-03-15,4.5423
2017-03-17,4.5633
2017-03-23,4.5555
2017-03-24,4.5527
2017-03-31,4.5525
