date,rates.RUB
2016-04-01,77.543
2016-04-04,77.154
2016-04-05,78.451
2016-04-06,77.806
2016-04-07,77.372
2016-04-08,76.541
2016-04-11,76.057
2016-04-12,75.617
2016-04-13,74.271
2016-04-14,74.243
2016-04-15,75.012
2016-04-18,76.759
2016-04-19,74.424
2016-04-20,74.646
2016-04-21,73.854
2016-04-22,74.251
2016-04-25,74.671
2016-04-26,74.895
2016-04-27,73.784
2016-04-28,73.52
2016-04-29,73.229
2016-05-02,74.408
2016-05-03,76.95
2016-05-04,75.956
2016-05-05,75.056
2016-05-06,75.914
2016-05-09,75.191
2016-05-10,75.64
2016-05-11,75.027
2016-05-12,73.743
2016-05-13,74.07
2016-05-16,73.576
2016-05-17,73.37
2016-05-18,73.781
2016-05-19,74.536
2016-05-20,74.914
2016-05-23,75.228
2016-05-24,74.426
2016-05-25,73.236
2016-05-26,72.742
2016-05-27,73.752
2016-05-30,73.395
2016-05-31,73.53
2016-06-01,74.781
2016-06-02,75.042
2016-06-03,74.909
2016-06-06,74.197
2016-06-07,73.712
2016-06-08,72.546
2016-06-09,72.822
2016-06-10,73.142
2016-06-13,74.026
2016-06-17,73.287
2016-06-21,72.764
2016-06-24,72.628
2016-06-29,71.045
2016-07-01,71.309
2016-07-07,70.929
2016-07-11,70.986
2016-07-15,70.371
2016-07-18,69.714
2016-07-22,71.081
2016-07-26,72.892
2016-07-29,74.488
2016-08-03,74.546
2016-08-05,72.797
2016-08-10,72.083
2016-08-12,72.219
2016-08-18,72.561
2016-08-19,72.59
2016-08-25,73.22
2016-08-29,72.67
2016-09-02,73.596
2016-09-06,72.34
2016-09-09,72.548
2016-09-14,73.129
2016-09-16,72.897
2016-09-21,71.714
2016-09-23,71.22
2016-09-28,71.704
2016-09-30,70.514
2016-10-06,69.727
2016-10-10,69.678
2016-10-14,69.281
2016-10-18,69.149
2016-10-21,67.916
2016-10-25,67.496
2016-10-28,68.768
2016-11-02,70.398
2016-11-04,71.067
2016-11-10,69.628
2016-11-14,71.615
2016-11-18,68.794
2016-11-22,67.96
2016-11-25,68.411
2016-11-30,68.421
2016-12-02,68.257
2016-12-08,68.19
2016-12-12,64.866
2016-12-15,64.395
2016-12-19,64.508
2016-12-23,64.008
2016-12-27,63.452
2016-12-30,64.3
2017-01-04,63.408
2017-01-06,62.748
2017-01-12,63.33
2017-01-16,63.169
2017-01-20,63.608
2017-01-24,63.656
2017-01-27,64.162
2017-02-01,64.867
2017-02-03,63.611
2017-02-09,62.873
2017-02-13,61.67
2017-02-17,61.967
2017-02-21,60.839
2017-02-24,61.644
2017-02-27,61.103
2017-02-28,61.755
2017-03-03,62.063
2017-03-07,61.356
2017-03-10,62.696
2017-03-15,62.744
2017-03-17,61.952
2017-03-23,62.2
2017-03-24,61.686
2017-03-31,60.313
