date,rates.SGD
2016-04-01,1.5389
2016-04-04,1.5373
2016-04-05,1.543
2016-04-06,1.5373
2016-04-07,1.5369
2016-04-08,1.5335
2016-04-11,1.5341
2016-04-12,1.5354
2016-04-13,1.5265
2016-04-14,1.5346
2016-04-15,1.533
2016-04-18,1.5328
2016-04-19,1.5197
2016-04-20,1.5246
2016-04-21,1.5252
2016-04-22,1.5211
2016-04-25,1.5215
2016-04-26,1.528
2016-04-27,1.5251
2016-04-28,1.5273
2016-04-29,1.5311
2016-05-02,1.541
2016-05-03,1.5574
2016-05-04,1.5605
2016-05-05,1.5531
2016-05-06,1.5526
2016-05-09,1.5572
2016-05-10,1.5577
2016-05-11,1.561
2016-05-12,1.562
2016-05-13,1.5552
2016-05-16,1.5511
2016-05-17,1.5501
2016-05-18,1.5539
2016-05-19,1.545
2016-05-20,1.5499
2016-05-23,1.5478
2016-05-24,1.5445
2016-05-25,1.5372
2016-05-26,1.5381
2016-05-27,1.536
2016-05-30,1.5384
2016-05-31,1.5367
2016-06-01,1.5375
2016-06-02,1.5399
2016-06-03,1.5351
2016-06-06,1.5424
2016-06-07,1.5362
2016-06-08,1.5337
2016-06-09,1.5336
2016-06-10,1.5307
2016-06-13,1.5272
2016-06-17,1.5187
2016-06-21,1.5169
2016-06-24,1.4973
2016-06-29,1.4951
2016-07-01,1.4959
2016-07-07,1.4934
2016-07-11,1.491
2016-07-15,1.4961
2016-07-18,1.49
2016-07-22,1.4934
2016-07-26,1.4925
2016-07-29,1.5015
2016-08-03,1.502
2016-08-05,1.4953
2016-08-10,1.4968
2016-08-12,1.5023
2016-08-18,1.5194
2016-08-19,1.5267
2016-08-25,1.5277
2016-08-29,1.5212
2016-09-02,1.5196
2016-09-06,1.513
2016-09-09,1.528
2016-09-14,1.5327
2016-09-16,1.5318
2016-09-21,1.5147
2016-09-23,1.5231
2016-09-28,1.527
2016-09-30,1.5235
2016-10-06,1.5365
2016-10-10,1.5337
2016-10-14,1.5263
2016-10-18,1.5242
2016-10-21,1.5179
2016-10-25,1.5133
2016-10-28,1.5229
2016-11-02,1.536
2016-11-04,1.5357
2016-11-10,1.5348
2016-11-14,1.5259
2016-11-18,1.5107
2016-11-22,1.5126
2016-11-25,1.5132
2016-11-30,1.5179
2016-12-02,1.514
2016-12-08,1.5272
2016-12-12,1.5145
2016-12-15,1.5008
2016-12-19,1.5103
2016-12-23,1.5114
2016-12-27,1.513
2016-12-30,1.5234
2017-01-04,1.5047
2017-01-06,1.5169
2017-01-12,1.5191
2017-01-16,1.5144
2017-01-20,1.5198
2017-01-24,1.5246
2017-01-27,1.525
2017-02-01,1.524
2017-02-03,1.5186
2017-02-09,1.5125
2017-02-13,1.5113
2017-02-17,1.5086
2017-02-21,1.4989
2017-02-24,1.4892
2017-02-27,1.4878
2017-02-28,1.4831
2017-03-03,1.4933
2017-03-07,1.492
2017-03-10,1.5041
2017-03-15,1.5001
2017-03-17,1.5055
2017-03-23,1.5086
2017-03-24,1.5126
2017-03-31,1.494
