date,rates.TRY
2016-04-01,3.2285
2016-04-04,3.1952
2016-04-05,3.2165
2016-04-06,3.2343
2016-04-07,3.2421
2016-04-08,3.2415
2016-04-11,3.224
2016-04-12,3.2274
2016-04-13,3.2259
2016-04-14,3.2203
2016-04-15,3.2212
2016-04-18,3.2251
2016-04-19,3.2136
2016-04-20,3.2011
2016-04-21,3.1962
2016-04-22,3.1886
2016-04-25,3.2074
2016-04-26,3.1951
2016-04-27,3.1908
2016-04-28,3.1963
2016-04-29,3.1934
2016-05-02,3.208
2016-05-03,3.2718
2016-05-04,3.2893
2016-05-05,3.3166
2016-05-06,3.3363
2016-05-09,3.3446
2016-05-10,3.345
2016-05-11,3.3801
2016-05-12,3.3569
2016-05-13,3.3639
2016-05-16,3.376
2016-05-17,3.3575
2016-05-18,3.3659
2016-05-19,3.3527
2016-05-20,3.3476
2016-05-23,3.3495
2016-05-24,3.3035
2016-05-25,3.2884
2016-05-26,3.2744
2016-05-27,3.2928
2016-05-30,3.2932
2016-05-31,3.2927
2016-06-01,3.2938
2016-06-02,3.2973
2016-06-03,3.2902
2016-06-06,3.3014
2016-06-07,3.2897
2016-06-08,3.2799
2016-06-09,3.285
2016-06-10,3.2994
2016-06-13,3.2939
2016-06-17,3.2988
2016-06-21,3.2791
2016-06-24,3.2457
2016-06-29,3.2157
2016-07-01,3.2077
2016-07-07,3.2468
2016-07-11,3.2027
2016-07-15,3.2125
2016-07-18,3.268
2016-07-22,3.356
2016-07-26,3.3508
2016-07-29,3.3523
2016-08-03,3.3742
2016-08-05,3.3471
2016-08-10,3.303
2016-08-12,3.2998
2016-08-18,3.3205
2016-08-19,3.3262
2016-08-25,3.3219
2016-08-29,3.3048
2016-09-02,3.3125
2016-09-06,3.2821
2016-09-09,3.344
2016-09-14,3.347
2016-09-16,3.3384
2016-09-21,3.3168
2016-09-23,3.3059
2016-09-28,3.3438
2016-09-30,3.3576
2016-10-06,3.4141
2016-10-10,3.4268
2016-10-14,3.3969
2016-10-18,3.4078
2016-10-21,3.3527
2016-10-25,3.3407
2016-10-28,3.4058
2016-11-02,3.458
2016-11-04,3.493
2016-11-10,3.528
2016-11-14,3.5478
2016-11-18,3.5798
2016-11-22,3.5717
2016-11-25,3.6523
2016-11-30,3.6372
2016-12-02,3.7747
2016-12-08,3.6676
2016-12-12,3.7269
2016-12-15,3.684
2016-12-19,3.6532
2016-12-23,3.6674
2016-12-27,3.6777
2016-12-30,3.7072
2017-01-04,3.7387
2017-01-06,3.8305
2017-01-12,4.0319
2017-01-16,4.0056
2017-01-20,4.0665
2017-01-24,4.0465
2017-01-27,4.1416
2017-02-01,4.0581
2017-02-03,4.0118
2017-02-09,3.9486
2017-02-13,3.9177
2017-02-17,3.9117
2017-02-21,3.8213
2017-02-24,3.7991
2017-02-27,3.81
2017-02-28,3.8391
2017-03-03,3.9388
2017-03-07,3.8894
2017-03-10,3.9801
2017-03-15,3.9497
2017-03-17,3.8896
2017-03-23,3.9038
2017-03-24,3.9176
2017-03-31,3.8894
