date,rates.USD
2016-04-01,1.1432
2016-04-04,1.138
2016-04-05,1.1367
2016-04-06,1.1336
2016-04-07,1.1364
2016-04-08,1.1363
2016-04-11,1.139
2016-04-12,1.1396
2016-04-13,1.1298
2016-04-14,1.1252
2016-04-15,1.1284
2016-04-18,1.1306
2016-04-19,1.1343
2016-04-20,1.1379
2016-04-21,1.1355
2016-04-22,1.1263
2016-04-25,1.1264
2016-04-26,1.1287
2016-04-27,1.1303
2016-04-28,1.1358
2016-04-29,1.1403
2016-05-02,1.1493
2016-05-03,1.1569
2016-05-04,1.1505
2016-05-05,1.1439
2016-05-06,1.1427
2016-05-09,1.1395
2016-05-10,1.1375
2016-05-11,1.1409
2016-05-12,1.1389
2016-05-13,1.1348
2016-05-16,1.1324
2016-05-17,1.1318
2016-05-18,1.1279
2016-05-19,1.1197
2016-05-20,1.1219
2016-05-23,1.1215
2016-05-24,1.1168
2016-05-25,1.1146
2016-05-26,1.1168
2016-05-27,1.1168
2016-05-30,1.1139
2016-05-31,1.1154
2016-06-01,1.1174
2016-06-02,1.1188
2016-06-03,1.1154
2016-06-06,1.1349
2016-06-07,1.1348
2016-06-08,1.1378
2016-06-09,1.1343
2016-06-10,1.1304
2016-06-13,1.1268
2016-06-17,1.1254
2016-06-21,1.1314
2016-06-24,1.1066
2016-06-29,1.109
2016-07-01,1.1135
2016-07-07,1.108
2016-07-11,1.1049
2016-07-15,1.1128
2016-07-18,1.1053
2016-07-22,1.1014
2016-07-26,1.0997
2016-07-29,1.1113
2016-08-03,1.12
2016-08-05,1.1156
2016-08-10,1.1184
2016-08-12,1.1158
2016-08-18,1.1321
2016-08-19,1.1326
2016-08-25,1.129
2016-08-29,1.117
2016-09-02,1.1193
2016-09-06,1.1159
2016-09-09,1.1268
2016-09-14,1.1218
2016-09-16,1.1226
2016-09-21,1.115
2016-09-23,1.1214
2016-09-28,1.1225
2016-09-30,1.1161
2016-10-06,1.1185
2016-10-10,1.116
2016-10-14,1.1002
2016-10-18,1.0993
2016-10-21,1.0886
2016-10-25,1.0872
2016-10-28,1.0922
2016-11-02,1.1095
2016-11-04,1.1093
2016-11-10,1.0895
2016-11-14,1.0777
2016-11-18,1.0629
2016-11-22,1.0617
2016-11-25,1.0592
2016-11-30,1.0635
2016-12-02,1.0642
2016-12-08,1.0762
2016-12-12,1.0596
2016-12-15,1.0419
2016-12-19,1.0422
2016-12-23,1.0446
2016-12-27,1.0445
2016-12-30,1.0541
2017-01-04,1.0437
2017-01-06,1.0589
2017-01-12,1.0679
2017-01-16,1.0594
2017-01-20,1.0632
2017-01-24,1.0748
2017-01-27,1.0681
2017-02-01,1.079
2017-02-03,1.0741
2017-02-09,1.0692
2017-02-13,1.0629
2017-02-17,1.065
2017-02-21,1.0537
2017-02-24,1.0609
2017-02-27,1.0587
2017-02-28,1.0597
2017-03-03,1.0565
2017-03-07,1.0576
2017-03-10,1.0606
2017-03-15,1.0622
2017-03-17,1.0737
2017-03-23,1.0786
2017-03-24,1.0805
2017-03-31,1.0691
