date,rates.ZAR
2016-04-01,16.876
2016-04-04,16.68
2016-04-05,17.019
2016-04-06,17.28
2016-04-07,17.317
2016-04-08,17.122
2016-04-11,16.796
2016-04-12,16.74
2016-04-13,16.634
2016-04-14,16.394
2016-04-15,16.442
2016-04-18,16.506
2016-04-19,16.203
2016-04-20,16.162
2016-04-21,16.1
2016-04-22,16.185
2016-04-25,16.314
2016-04-26,16.349
2016-04-27,16.351
2016-04-28,16.333
2016-04-29,16.157
2016-05-02,16.303
2016-05-03,16.732
2016-05-04,17.007
2016-05-05,17.075
2016-05-06,17.096
2016-05-09,17.213
2016-05-10,17.322
2016-05-11,17.274
2016-05-12,17.073
2016-05-13,17.213
2016-05-16,17.631
2016-05-17,17.656
2016-05-18,17.916
2016-05-19,17.745
2016-05-20,17.667
2016-05-23,17.517
2016-05-24,17.45
2016-05-25,17.475
2016-05-26,17.416
2016-05-27,17.45
2016-05-30,17.567
2016-05-31,17.586
2016-06-01,17.538
2016-06-02,17.445
2016-06-03,17.378
2016-06-06,17.006
2016-06-07,16.87
2016-06-08,16.761
2016-06-09,16.816
2016-06-10,17.058
2016-06-13,17.1
2016-06-17,17.122
2016-06-21,16.604
2016-06-24,16.732
2016-06-29,16.602
2016-07-01,16.229
2016-07-07,16.243
2016-07-11,15.957
2016-07-15,15.967
2016-07-18,15.768
2016-07-22,15.692
2016-07-26,15.867
2016-07-29,15.73
2016-08-03,15.658
2016-08-05,15.254
2016-08-10,14.848
2016-08-12,15.07
2016-08-18,15.123
2016-08-19,15.302
2016-08-25,15.953
2016-08-29,16.23
2016-09-02,16.257
2016-09-06,15.851
2016-09-09,16.14
2016-09-14,16.078
2016-09-16,15.868
2016-09-21,15.289
2016-09-23,15.237
2016-09-28,15.249
2016-09-30,15.524
2016-10-06,15.457
2016-10-10,15.455
2016-10-14,15.63
2016-10-18,15.441
2016-10-21,15.275
2016-10-25,15.04
2016-10-28,15.161
2016-11-02,14.842
2016-11-04,15.012
2016-11-10,15.105
2016-11-14,15.506
2016-11-18,15.279
2016-11-22,14.924
2016-11-25,14.972
2016-11-30,14.89
2016-12-02,14.985
2016-12-08,14.716
2016-12-12,14.544
2016-12-15,14.628
2016-12-19,14.669
2016-12-23,14.635
2016-12-27,14.579
2016-12-30,14.457
2017-01-04,14.241
2017-01-06,14.418
2017-01-12,14.348
2017-01-16,14.421
2017-01-20,14.485
2017-01-24,14.364
2017-01-27,14.447
2017-02-01,14.484
2017-02-03,14.421
2017-02-09,14.338
2017-02-13,14.181
2017-02-17,13.936
2017-02-21,13.867
2017-02-24,13.702
2017-02-27,13.716
2017-02-28,13.791
2017-03-03,13.822
2017-03-07,13.704
2017-03-10,14.068
2017-03-15,13.865
2017-03-17,13.7
2017-03-23,13.493
2017-03-24,13.482
2017-03-31,14.24
