date,rates
1-Apr-16,1.4894
4-Apr-16,1.4832
5-Apr-16,1.4968
6-Apr-16,1.4912
7-Apr-16,1.4906
8-Apr-16,1.4861
11-Apr-16,1.4794
12-Apr-16,1.4674
13-Apr-16,1.4466
14-Apr-16,1.4434
15-Apr-16,1.4535
18-Apr-16,1.4612
19-Apr-16,1.4418
20-Apr-16,1.4421
21-Apr-16,1.4346
22-Apr-16,1.4342
25-Apr-16,1.4286
26-Apr-16,1.4276
27-Apr-16,1.4223
28-Apr-16,1.4262
29-Apr-16,1.4286
2-May-16,1.4388
3-May-16,1.4559
4-May-16,1.467
5-May-16,1.4665
6-May-16,1.4717
9-May-16,1.4743
10-May-16,1.4744
11-May-16,1.4686
12-May-16,1.4594
13-May-16,1.4619
16-May-16,1.4634
17-May-16,1.4631
18-May-16,1.4637
19-May-16,1.4679
20-May-16,1.4704
23-May-16,1.4745
24-May-16,1.4684
25-May-16,1.4608
26-May-16,1.4443
27-May-16,1.456
30-May-16,1.4524
31-May-16,1.453
1-Jun-16,1.4586
2-Jun-16,1.4662
3-Jun-16,1.4594
6-Jun-16,1.4665
7-Jun-16,1.4505
8-Jun-16,1.443
9-Jun-16,1.4459
10-Jun-16,1.441
13-Jun-16,1.439
17-Jun-16,1.4519
21-Jun-16,1.4451
24-Jun-16,1.4392
29-Jun-16,1.4407
1-Jul-16,1.439
7-Jul-16,1.4328
11-Jul-16,1.4437
15-Jul-16,1.4317
18-Jul-16,1.4315
22-Jul-16,1.4436
26-Jul-16,1.4553
29-Jul-16,1.4643
3-Aug-16,1.4672
5-Aug-16,1.4529
10-Aug-16,1.4557
12-Aug-16,1.4478
18-Aug-16,1.4524
19-Aug-16,1.4547
25-Aug-16,1.4597
29-Aug-16,1.4536
2-Sep-16,1.4643
6-Sep-16,1.4405
9-Sep-16,1.46
14-Sep-16,1.4799
16-Sep-16,1.4817
21-Sep-16,1.4653
23-Sep-16,1.4625
28-Sep-16,1.4829
30-Sep-16,1.469
6-Oct-16,1.4769
10-Oct-16,1.479
14-Oct-16,1.4485
18-Oct-16,1.4382
21-Oct-16,1.4401
25-Oct-16,1.4478
28-Oct-16,1.4623
2-Nov-16,1.484
4-Nov-16,1.4901
10-Nov-16,1.4689
14-Nov-16,1.459
18-Nov-16,1.4365
22-Nov-16,1.423
25-Nov-16,1.429
30-Nov-16,1.4233
2-Dec-16,1.4157
8-Dec-16,1.4222
12-Dec-16,1.3918
15-Dec-16,1.3902
19-Dec-16,1.3947
23-Dec-16,1.4117
27-Dec-16,1.4136
30-Dec-16,1.4188
4-Jan-17,1.3894
6-Jan-17,1.4039
12-Jan-17,1.3944
16-Jan-17,1.3927
20-Jan-17,1.4217
24-Jan-17,1.4267
27-Jan-17,1.4012
1-Feb-17,1.4097
3-Feb-17,1.4023
9-Feb-17,1.4016
13-Feb-17,1.3917
17-Feb-17,1.3929
21-Feb-17,1.384
24-Feb-17,1.3907
27-Feb-17,1.3889
28-Feb-17,1.3984
3-Mar-17,1.4161
7-Mar-17,1.4191
10-Mar-17,1.4322
15-Mar-17,1.4291
17-Mar-17,1.4296
23-Mar-17,1.4387
24-Mar-17,1.4448
31-Mar-17,1.4265
