date,rates
1-Apr-16,77.543
4-Apr-16,77.154
5-Apr-16,78.451
6-Apr-16,77.806
7-Apr-16,77.372
8-Apr-16,76.541
11-Apr-16,76.057
12-Apr-16,75.617
13-Apr-16,74.271
14-Apr-16,74.243
15-Apr-16,75.012
18-Apr-16,76.759
19-Apr-16,74.424
20-Apr-16,74.646
21-Apr-16,73.854
22-Apr-16,74.251
25-Apr-16,74.671
26-Apr-16,74.895
27-Apr-16,73.784
28-Apr-16,73.52
29-Apr-16,73.229
2-May-16,74.408
3-May-16,76.95
4-May-16,75.956
5-May-16,75.056
6-May-16,75.914
9-May-16,75.191
10-May-16,75.64
11-May-16,75.027
12-May-16,73.743
13-May-16,74.07
16-May-16,73.576
17-May-16,73.37
18-May-16,73.781
19-May-16,74.536
20-May-16,74.914
23-May-16,75.228
24-May-16,74.426
25-May-16,73.236
26-May-16,72.742
27-May-16,73.752
30-May-16,73.395
31-May-16,73.53
1-Jun-16,74.781
2-Jun-16,75.042
3-Jun-16,74.909
6-Jun-16,74.197
7-Jun-16,73.712
8-Jun-16,72.546
9-Jun-16,72.822
10-Jun-16,73.142
13-Jun-16,74.026
17-Jun-16,73.287
21-Jun-16,72.764
24-Jun-16,72.628
29-Jun-16,71.045
1-Jul-16,71.309
7-Jul-16,70.929
11-Jul-16,70.986
15-Jul-16,70.371
18-Jul-16,69.714
22-Jul-16,71.081
26-Jul-16,72.892
29-Jul-16,74.488
3-Aug-16,74.546
5-Aug-16,72.797
10-Aug-16,72.083
12-Aug-16,72.219
18-Aug-16,72.561
19-Aug-16,72.59
25-Aug-16,73.22
29-Aug-16,72.67
2-Sep-16,73.596
6-Sep-16,72.34
9-Sep-16,72.548
14-Sep-16,73.129
16-Sep-16,72.897
21-Sep-16,71.714
23-Sep-16,71.22
28-Sep-16,71.704
30-Sep-16,70.514
6-Oct-16,69.727
10-Oct-16,69.678
14-Oct-16,69.281
18-Oct-16,69.149
21-Oct-16,67.916
25-Oct-16,67.496
28-Oct-16,68.768
2-Nov-16,70.398
4-Nov-16,71.067
10-Nov-16,69.628
14-Nov-16,71.615
18-Nov-16,68.794
22-Nov-16,67.96
25-Nov-16,68.411
30-Nov-16,68.421
2-Dec-16,68.257
8-Dec-16,68.19
12-Dec-16,64.866
15-Dec-16,64.395
19-Dec-16,64.508
23-Dec-16,64.008
27-Dec-16,63.452
30-Dec-16,64.3
4-Jan-17,63.408
6-Jan-17,62.748
12-Jan-17,63.33
16-Jan-17,63.169
20-Jan-17,63.608
24-Jan-17,63.656
27-Jan-17,64.162
1-Feb-17,64.867
3-Feb-17,63.611
9-Feb-17,62.873
13-Feb-17,61.67
17-Feb-17,61.967
21-Feb-17,60.839
24-Feb-17,61.644
27-Feb-17,61.103
28-Feb-17,61.755
3-Mar-17,62.063
7-Mar-17,61.356
10-Mar-17,62.696
15-Mar-17,62.744
17-Mar-17,61.952
23-Mar-17,62.2
24-Mar-17,61.686
31-Mar-17,60.313
