date,ratesCAD,ratesGBP,ratesUSD
2016-04-01,1.4894,0.7989,1.1432
2016-04-04,1.4832,0.79738,1.138
2016-04-05,1.4968,0.8016,1.1367
2016-04-06,1.4912,0.80808,1.1336
2016-04-07,1.4906,0.80728,1.1364
2016-04-08,1.4861,0.8073,1.1363
2016-04-11,1.4794,0.8006,1.139
2016-04-12,1.4674,0.7984,1.1396
2016-04-13,1.4466,0.79388,1.1298
2016-04-14,1.4434,0.7956,1.1252
2016-04-15,1.4535,0.79575,1.1284
2016-04-18,1.4612,0.7978,1.1306
2016-04-19,1.4418,0.78975,1.1343
2016-04-20,1.4421,0.791,1.1379
2016-04-21,1.4346,0.78693,1.1355
2016-04-22,1.4342,0.78335,1.1263
2016-04-25,1.4286,0.7764,1.1264
2016-04-26,1.4276,0.77483,1.1287
2016-04-27,1.4223,0.77475,1.1303
2016-04-28,1.4262,0.77838,1.1358
2016-04-29,1.4286,0.78025,1.1403
2016-05-02,1.4388,0.78248,1.1493
2016-05-03,1.4559,0.79103,1.1569
2016-05-04,1.467,0.79284,1.1505
2016-05-05,1.4665,0.7886,1.1439
2016-05-06,1.4717,0.7885,1.1427
2016-05-09,1.4743,0.78998,1.1395
2016-05-10,1.4744,0.7876,1.1375
2016-05-11,1.4686,0.78958,1.1409
2016-05-12,1.4594,0.78888,1.1389
2016-05-13,1.4619,0.78758,1.1348
2016-05-16,1.4634,0.788,1.1324
2016-05-17,1.4631,0.7815,1.1318
2016-05-18,1.4637,0.77485,1.1279
2016-05-19,1.4679,0.76585,1.1197
2016-05-20,1.4704,0.77008,1.1219
2016-05-23,1.4745,0.77443,1.1215
2016-05-24,1.4684,0.76513,1.1168
2016-05-25,1.4608,0.75925,1.1146
2016-05-26,1.4443,0.7597,1.1168
2016-05-27,1.456,0.76245,1.1168
2016-05-30,1.4524,0.76125,1.1139
2016-05-31,1.453,0.76185,1.1154
2016-06-01,1.4586,0.77358,1.1174
2016-06-02,1.4662,0.77335,1.1188
2016-06-03,1.4594,0.77285,1.1154
2016-06-06,1.4665,0.7872,1.1349
2016-06-07,1.4505,0.7788,1.1348
2016-06-08,1.443,0.78048,1.1378
2016-06-09,1.4459,0.78438,1.1343
2016-06-10,1.441,0.7848,1.1304
2016-06-13,1.439,0.79515,1.1268
2016-06-17,1.4519,0.7877,1.1254
2016-06-21,1.4451,0.76755,1.1314
2016-06-24,1.4392,0.8075,1.1066
2016-06-29,1.4407,0.8255,1.109
2016-07-01,1.439,0.8383,1.1135
2016-07-07,1.4328,0.85085,1.108
2016-07-11,1.4437,0.85097,1.1049
2016-07-15,1.4317,0.83275,1.1128
2016-07-18,1.4315,0.83372,1.1053
2016-07-22,1.4436,0.84108,1.1014
2016-07-26,1.4553,0.8371,1.0997
2016-07-29,1.4643,0.844,1.1113
2016-08-03,1.4672,0.8391,1.12
2016-08-05,1.4529,0.8481,1.1156
2016-08-10,1.4557,0.85541,1.1184
2016-08-12,1.4478,0.8605,1.1158
2016-08-18,1.4524,0.86073,1.1321
2016-08-19,1.4547,0.86537,1.1326
2016-08-25,1.4597,0.8557,1.129
2016-08-29,1.4536,0.85476,1.117
2016-09-02,1.4643,0.8426,1.1193
2016-09-06,1.4405,0.83535,1.1159
2016-09-09,1.46,0.84558,1.1268
2016-09-14,1.4799,0.85078,1.1218
2016-09-16,1.4817,0.85203,1.1226
2016-09-21,1.4653,0.85693,1.115
2016-09-23,1.4625,0.86435,1.1214
2016-09-28,1.4829,0.86208,1.1225
2016-09-30,1.469,0.86103,1.1161
2016-10-06,1.4769,0.88323,1.1185
2016-10-10,1.479,0.9007,1.116
2016-10-14,1.4485,0.8991,1.1002
2016-10-18,1.4382,0.89565,1.0993
2016-10-21,1.4401,0.8932,1.0886
2016-10-25,1.4478,0.88998,1.0872
2016-10-28,1.4623,0.89905,1.0922
2016-11-02,1.484,0.90063,1.1095
2016-11-04,1.4901,0.88808,1.1093
2016-11-10,1.4689,0.87785,1.0895
2016-11-14,1.459,0.85985,1.0777
2016-11-18,1.4365,0.86218,1.0629
2016-11-22,1.423,0.85423,1.0617
2016-11-25,1.429,0.85182,1.0592
2016-11-30,1.4233,0.8525,1.0635
2016-12-02,1.4157,0.84303,1.0642
2016-12-08,1.4222,0.84995,1.0762
2016-12-12,1.3918,0.839,1.0596
2016-12-15,1.3902,0.83598,1.0419
2016-12-19,1.3947,0.8414,1.0422
2016-12-23,1.4117,0.85278,1.0446
2016-12-27,1.4136,0.853,1.0445
2016-12-30,1.4188,0.85618,1.0541
2017-01-04,1.3894,0.84945,1.0437
2017-01-06,1.4039,0.85648,1.0589
2017-01-12,1.3944,0.86843,1.0679
2017-01-16,1.3927,0.87808,1.0594
2017-01-20,1.4217,0.86595,1.0632
2017-01-24,1.4267,0.8635,1.0748
2017-01-27,1.4012,0.8517,1.0681
2017-02-01,1.4097,0.85418,1.079
2017-02-03,1.4023,0.86013,1.0741
2017-02-09,1.4016,0.8509,1.0692
2017-02-13,1.3917,0.8489,1.0629
2017-02-17,1.3929,0.8572,1.065
2017-02-21,1.384,0.8486,1.0537
2017-02-24,1.3907,0.84503,1.0609
2017-02-27,1.3889,0.8528,1.0587
2017-02-28,1.3984,0.85305,1.0597
2017-03-03,1.4161,0.86355,1.0565
2017-03-07,1.4191,0.8671,1.0576
2017-03-10,1.4322,0.8725,1.0606
2017-03-15,1.4291,0.87073,1.0622
2017-03-17,1.4296,0.86868,1.0737
2017-03-23,1.4387,0.86273,1.0786
2017-03-24,1.4448,0.866,1.0805
2017-03-31,1.4265,0.85553,1.0691
