date,rates
1-Apr-16,1315.8
4-Apr-16,1308.2
5-Apr-16,1317.2
6-Apr-16,1318.4
7-Apr-16,1318.1
8-Apr-16,1310.4
11-Apr-16,1306.6
12-Apr-16,1302.9
13-Apr-16,1298.1
14-Apr-16,1298.5
15-Apr-16,1295.1
18-Apr-16,1299.6
19-Apr-16,1277.3
20-Apr-16,1285
21-Apr-16,1286.4
22-Apr-16,1287.4
25-Apr-16,1291.5
26-Apr-16,1299.1
27-Apr-16,1299.5
28-Apr-16,1295.5
29-Apr-16,1301.5
2-May-16,1307.8
3-May-16,1323.8
4-May-16,1338.1
5-May-16,1334
6-May-16,1339.6
9-May-16,1337.4
10-May-16,1335
11-May-16,1332.8
12-May-16,1331.6
13-May-16,1330.9
16-May-16,1335.9
17-May-16,1331.7
18-May-16,1340.3
19-May-16,1333.5
20-May-16,1332
23-May-16,1329.8
24-May-16,1329.3
25-May-16,1317.2
26-May-16,1317.9
27-May-16,1317
30-May-16,1326.6
31-May-16,1326.1
1-Jun-16,1331.5
2-Jun-16,1329.4
3-Jun-16,1322.4
6-Jun-16,1323
7-Jun-16,1311.7
8-Jun-16,1311.4
9-Jun-16,1316.6
10-Jun-16,1316.1
13-Jun-16,1322.6
17-Jun-16,1318.2
21-Jun-16,1304
24-Jun-16,1296.9
29-Jun-16,1283.2
1-Jul-16,1275.8
7-Jul-16,1280.6
11-Jul-16,1268.8
15-Jul-16,1260.1
18-Jul-16,1257.6
22-Jul-16,1251.2
26-Jul-16,1249.2
29-Jul-16,1246.8
3-Aug-16,1251.3
5-Aug-16,1237.7
10-Aug-16,1223.5
12-Aug-16,1234.2
18-Aug-16,1257.1
19-Aug-16,1269.2
25-Aug-16,1260.3
29-Aug-16,1254.7
2-Sep-16,1248.9
6-Sep-16,1233.8
9-Sep-16,1244.2
14-Sep-16,1263.1
16-Sep-16,1263.6
21-Sep-16,1240.6
23-Sep-16,1235.8
28-Sep-16,1231.8
30-Sep-16,1229.8
6-Oct-16,1249.2
10-Oct-16,1240.6
14-Oct-16,1246.1
18-Oct-16,1238.3
21-Oct-16,1238.6
25-Oct-16,1230.6
28-Oct-16,1251
2-Nov-16,1268.5
4-Nov-16,1269.4
10-Nov-16,1264.9
14-Nov-16,1264
18-Nov-16,1250.1
22-Nov-16,1246.9
25-Nov-16,1247
30-Nov-16,1247.4
2-Dec-16,1247.4
8-Dec-16,1250
12-Dec-16,1237.7
15-Dec-16,1235.8
19-Dec-16,1239
23-Dec-16,1257.6
27-Dec-16,1261
30-Dec-16,1269.4
4-Jan-17,1251.9
6-Jan-17,1261.4
12-Jan-17,1255.4
16-Jan-17,1253.6
20-Jan-17,1250.7
24-Jan-17,1252.3
27-Jan-17,1254
1-Feb-17,1247.9
3-Feb-17,1232.2
9-Feb-17,1223.2
13-Feb-17,1223.3
17-Feb-17,1224.8
21-Feb-17,1208.7
24-Feb-17,1198.2
27-Feb-17,1200
28-Feb-17,1194.2
3-Mar-17,1218.6
7-Mar-17,1215.7
10-Mar-17,1226.3
15-Mar-17,1217.3
17-Mar-17,1213.2
23-Mar-17,1207.4
24-Mar-17,1210.4
31-Mar-17,1194.5
