date,rates
1-Apr-16,4.244
4-Apr-16,4.234
5-Apr-16,4.2448
6-Apr-16,4.2636
7-Apr-16,4.2833
8-Apr-16,4.2953
11-Apr-16,4.2793
12-Apr-16,4.2923
13-Apr-16,4.2869
14-Apr-16,4.2992
15-Apr-16,4.2967
18-Apr-16,4.3059
19-Apr-16,4.3027
20-Apr-16,4.2875
21-Apr-16,4.3085
22-Apr-16,4.3506
25-Apr-16,4.3911
26-Apr-16,4.3799
27-Apr-16,4.3918
28-Apr-16,4.388
29-Apr-16,4.3965
2-May-16,4.3833
3-May-16,4.3844
4-May-16,4.3936
5-May-16,4.4234
6-May-16,4.4198
9-May-16,4.4142
10-May-16,4.4201
11-May-16,4.4244
12-May-16,4.4193
13-May-16,4.3929
16-May-16,4.3718
17-May-16,4.3621
18-May-16,4.3885
19-May-16,4.3928
20-May-16,4.4203
23-May-16,4.4367
24-May-16,4.4358
25-May-16,4.4205
26-May-16,4.4108
27-May-16,4.3912
30-May-16,4.394
31-May-16,4.3865
1-Jun-16,4.3978
2-Jun-16,4.3903
3-Jun-16,4.3861
6-Jun-16,4.3776
7-Jun-16,4.3486
8-Jun-16,4.3228
9-Jun-16,4.3321
10-Jun-16,4.3591
13-Jun-16,4.3884
17-Jun-16,4.4463
21-Jun-16,4.3991
24-Jun-16,4.455
29-Jun-16,4.4261
1-Jul-16,4.3966
7-Jul-16,4.4275
11-Jul-16,4.421
15-Jul-16,4.4099
18-Jul-16,4.3805
22-Jul-16,4.3554
26-Jul-16,4.3629
29-Jul-16,4.363
3-Aug-16,4.313
5-Aug-16,4.2841
10-Aug-16,4.2684
12-Aug-16,4.2658
18-Aug-16,4.2925
19-Aug-16,4.2992
25-Aug-16,4.3123
29-Aug-16,4.3314
2-Sep-16,4.3914
6-Sep-16,4.3388
9-Sep-16,4.3345
14-Sep-16,4.342
16-Sep-16,4.3167
21-Sep-16,4.2915
23-Sep-16,4.2869
28-Sep-16,4.2893
30-Sep-16,4.3192
6-Oct-16,4.2928
10-Oct-16,4.2821
14-Oct-16,4.302
18-Oct-16,4.3184
21-Oct-16,4.3251
25-Oct-16,4.3042
28-Oct-16,4.3307
2-Nov-16,4.3255
4-Nov-16,4.3188
10-Nov-16,4.3588
14-Nov-16,4.406
18-Nov-16,4.4429
22-Nov-16,4.4205
25-Nov-16,4.419
30-Nov-16,4.4483
2-Dec-16,4.4892
8-Dec-16,4.454
12-Dec-16,4.453
15-Dec-16,4.445
19-Dec-16,4.411
23-Dec-16,4.4098
27-Dec-16,4.409
30-Dec-16,4.4103
4-Jan-17,4.3778
6-Jan-17,4.3552
12-Jan-17,4.3765
16-Jan-17,4.3729
20-Jan-17,4.3699
24-Jan-17,4.3725
27-Jan-17,4.34
1-Feb-17,4.3186
3-Feb-17,4.2972
9-Feb-17,4.3096
13-Feb-17,4.3137
17-Feb-17,4.3305
21-Feb-17,4.3064
24-Feb-17,4.3107
27-Feb-17,4.3148
28-Feb-17,4.3148
3-Mar-17,4.3007
7-Mar-17,4.3075
10-Mar-17,4.3259
15-Mar-17,4.3206
17-Mar-17,4.2982
23-Mar-17,4.2685
24-Mar-17,4.2695
31-Mar-17,4.2265
