date,ratesMXN,ratesUSD
2016-04-01,19.9,1.1432
2016-04-04,19.723,1.138
2016-04-05,19.996,1.1367
2016-04-06,20.148,1.1336
2016-04-07,20.178,1.1364
2016-04-08,20.211,1.1363
2016-04-11,20.192,1.139
2016-04-12,20.025,1.1396
2016-04-13,19.824,1.1298
2016-04-14,19.666,1.1252
2016-04-15,19.793,1.1284
2016-04-18,19.904,1.1306
2016-04-19,19.595,1.1343
2016-04-20,19.706,1.1379
2016-04-21,19.623,1.1355
2016-04-22,19.682,1.1263
2016-04-25,19.804,1.1264
2016-04-26,19.789,1.1287
2016-04-27,19.658,1.1303
2016-04-28,19.671,1.1358
2016-04-29,19.557,1.1403
2016-05-02,19.683,1.1493
2016-05-03,20.146,1.1569
2016-05-04,20.457,1.1505
2016-05-05,20.216,1.1439
2016-05-06,20.518,1.1427
2016-05-09,20.432,1.1395
2016-05-10,20.623,1.1375
2016-05-11,20.531,1.1409
2016-05-12,20.388,1.1389
2016-05-13,20.483,1.1348
2016-05-16,20.618,1.1324
2016-05-17,20.728,1.1318
2016-05-18,20.788,1.1279
2016-05-19,20.678,1.1197
2016-05-20,20.654,1.1219
2016-05-23,20.602,1.1215
2016-05-24,20.585,1.1168
2016-05-25,20.502,1.1146
2016-05-26,20.514,1.1168
2016-05-27,20.661,1.1168
2016-05-30,20.577,1.1139
2016-05-31,20.518,1.1154
2016-06-01,20.653,1.1174
2016-06-02,20.778,1.1188
2016-06-03,20.88,1.1154
2016-06-06,21.063,1.1349
2016-06-07,21.071,1.1348
2016-06-08,20.682,1.1378
2016-06-09,20.677,1.1343
2016-06-10,20.803,1.1304
2016-06-13,21.067,1.1268
2016-06-17,21.247,1.1254
2016-06-21,21.004,1.1314
2016-06-24,20.881,1.1066
2016-06-29,20.733,1.109
2016-07-01,20.181,1.1135
2016-07-07,20.727,1.108
2016-07-11,20.378,1.1049
2016-07-15,20.442,1.1128
2016-07-18,20.435,1.1053
2016-07-22,20.491,1.1014
2016-07-26,20.673,1.0997
2016-07-29,21.029,1.1113
2016-08-03,21.18,1.12
2016-08-05,21.028,1.1156
2016-08-10,20.492,1.1184
2016-08-12,20.388,1.1158
2016-08-18,20.554,1.1321
2016-08-19,20.754,1.1326
2016-08-25,20.838,1.129
2016-08-29,20.764,1.117
2016-09-02,21.014,1.1193
2016-09-06,20.67,1.1159
2016-09-09,21.187,1.1268
2016-09-14,21.48,1.1218
2016-09-16,21.766,1.1226
2016-09-21,22.006,1.115
2016-09-23,22.009,1.1214
2016-09-28,21.818,1.1225
2016-09-30,21.739,1.1161
2016-10-06,21.57,1.1185
2016-10-10,21.139,1.116
2016-10-14,20.845,1.1002
2016-10-18,20.571,1.0993
2016-10-21,20.308,1.0886
2016-10-25,20.102,1.0872
2016-10-28,20.558,1.0922
2016-11-02,21.495,1.1095
2016-11-04,21.228,1.1093
2016-11-10,22.037,1.0895
2016-11-14,22.502,1.0777
2016-11-18,21.697,1.0629
2016-11-22,21.584,1.0617
2016-11-25,21.873,1.0592
2016-11-30,21.878,1.0635
2016-12-02,22.116,1.0642
2016-12-08,21.892,1.0762
2016-12-12,21.447,1.0596
2016-12-15,21.52,1.0419
2016-12-19,21.288,1.0422
2016-12-23,21.615,1.0446
2016-12-27,21.534,1.0445
2016-12-30,21.772,1.0541
2017-01-04,22.071,1.0437
2017-01-06,22.529,1.0589
2017-01-12,23.07,1.0679
2017-01-16,22.878,1.0594
2017-01-20,23.37,1.0632
2017-01-24,22.886,1.0748
2017-01-27,22.545,1.0681
2017-02-01,22.34,1.079
2017-02-03,22.016,1.0741
2017-02-09,21.858,1.0692
2017-02-13,21.626,1.0629
2017-02-17,21.805,1.065
2017-02-21,21.528,1.0537
2017-02-24,20.893,1.0609
2017-02-27,20.954,1.0587
2017-02-28,21.08,1.0597
2017-03-03,20.764,1.0565
2017-03-07,20.612,1.0576
2017-03-10,20.968,1.0606
2017-03-15,20.801,1.0622
2017-03-17,20.571,1.0737
2017-03-23,20.596,1.0786
2017-03-24,20.428,1.0805
2017-03-31,20.018,1.0691
