date,name,sex,country_killed,Local_Foreign,Type_death
22-Oct-16,Ali Risan,Male,Iraq,Local,Crossfire/Combat-Related
21-Oct-16,Ahmet Hacero?lu,Male,Iraq,Local,Crossfire/Combat-Related
14-Aug-16,Mustafa Said,Male,Iraq,Local,Crossfire/Combat-Related
5-Aug-16,Mubarak al-Abadi,Male,Yemen,Local,Crossfire/Combat-Related
1-Aug-16,Mohammed Sayyed Hassan,Male,Syria,Local,Crossfire/Combat-Related
30-Jun-16,Sami Jawdat Rabah,Male,Syria,Local,Murder
30-Jun-16,Samer Mohammed Aboud,Male,Syria,Local,Murder
30-Jun-16,Mustafa Abdul Hassa,Male,Syria,Local,Murder
30-Jun-16,Mohammed Eissa,Male,Syria,Local,Murder
14-Jul-16,Abdullah Mohammad Ghannam,Male,Syria,Local,Crossfire/Combat-Related
11-Jul-16,Ibrahim Omar,Male,Syria,Local,Crossfire/Combat-Related
25-Jun-16,Khaled Eissa ,Male,Syria,Local,Murder
24-Feb-16,Rohat Akta?,Male,Turkey,Local,Unknown
5-Jun-16,Osama Jumaa,Male,Syria,Local,Crossfire/Combat-Related
12-Apr-16,Zaher al-Shurqat,Male,Turkey,Foreign,Murder
21-Mar-16,Mohammed Ghalib al-Majidi,Male,Yemen,Local,Crossfire/Combat-Related
19-Feb-16,Majid Dirani,Male,Syria,Local,Crossfire/Combat-Related
16-Feb-16,Ahmed al-Shaibani,Male,Yemen,Local,Crossfire/Combat-Related
22-Jan-16,Hashim al-Hamran,Male,Yemen,Local,Crossfire/Combat-Related
17-Jan-16,Almigdad Mojalli,Male,Yemen,Local,Crossfire/Combat-Related
12-Jan-16,Hassan al-Anbaki,Male,Iraq,Local,Murder
12-Jan-16,Saif Talal,Male,Iraq,Local,Murder
27-Dec-15,Naji Jerf,Male,Turkey,Foreign,Murder
16-Dec-15,Ahmed Mohamed al-Mousa,Male,Syria,Local,Murder
7-Dec-15,Zakaria Ibrahim,Male,Syria,Local,Crossfire/Combat-Related
6-Nov-15,Ahmed Abu al-Hamza,Male,Syria,Local,Crossfire/Combat-Related
3-Nov-15,Batoul Mokhles al-Warrar,Female,Syria,Local,Crossfire/Combat-Related
30-Oct-15,Fares Hamadi,Male,Turkey,Foreign,Murder
30-Oct-15,Ibrahim Abd al-Qader,Male,Turkey,Foreign,Murder
27-Oct-15,Jomaa Al-Ahmad (Abu al-Nour al-Halabi),Male,Syria,Local,Crossfire/Combat-Related
23-Oct-15,Wasem Aledel,Male,Syria,Local,Crossfire/Combat-Related
26-Sep-15,Obada Ghazal,Male,Syria,Local,Crossfire/Combat-Related
17-Sep-15,Bilal Sharaf al-Deen,Male,Yemen,Local,Crossfire/Combat-Related
12-Sep-15,Yahya Abdul Hamid,Male,Iraq,Local,Murder
1-Aug-15,Adel Sayegh ,Male,Iraq,Local,Murder
27-Jul-15,Thaer al-Ajlani,Male,Syria,Local,Crossfire/Combat-Related
15-Jul-15,Jalaa al-Abadi,Male,Iraq,Local,Murder
26-Jun-15,Mohammed al-Asfar,Male,Syria,Local,Crossfire/Combat-Related
31-May-15,Ammar al-Shami,Male,Syria,Local,Crossfire/Combat-Related
21-May-15,Abdullah Qabil,Male,Yemen,Local,Crossfire/Combat-Related
21-May-15,Youssef al-Ayzari,Male,Yemen,Local,Crossfire/Combat-Related
1-May-15,Firas al-Baher,Male,Iraq,Local,Murder
26-Apr-15,Thaer Al-Ali,Male,Iraq,Local,Murder
20-Apr-15,Mohamed Shamsan,Male,Yemen,Local,Crossfire/Combat-Related
16-Apr-15,Humam Najjar (Abu Yazan al-Halabi),Male,Syria,Local,Crossfire/Combat-Related
1-Apr-15,Jamal Khalifeh,Male,Syria,Local,Crossfire/Combat-Related
30-Apr-15,Fadel al-Hadidi,Male,Iraq,Local,Murder
8-Mar-15,Noureddine Hashim,Male,Syria,Local,Crossfire/Combat-Related
1-Jan-15,Kenji Goto,Male,Syria,Foreign,Murder
4-Jan-15,Khaled al-Washli,Male,Yemen,Local,Dangerous Assignment
10-Dec-14,Mahran al-Deeri,Male,Syria,Local,Crossfire/Combat-Related
8-Dec-14,Salem Khalil,Male,Syria,Local,Crossfire/Combat-Related
8-Dec-14,Rami Asmi,Male,Syria,Local,Crossfire/Combat-Related
8-Dec-14,Yousef el-Dous,Male,Syria,Local,Crossfire/Combat-Related
6-Dec-14,Luke Somers,Male,Yemen,Foreign,Murder
22-Nov-14,Zaher Mtawe'e,Male,Syria,Local,Crossfire/Combat-Related
15-Oct-14,Atallah Bajbouj,Male,Syria,Local,Crossfire/Combat-Related
10-Sep-14,Mohammed al-Qasim,Male,Syria,Local,Crossfire/Combat-Related
31-Aug-14,Steven Sotloff,Male,Syria,Foreign,Murder
1-Aug-14,James Foley,Male,Syria,Foreign,Murder
13-Aug-14,Simone Camilli,Male,Israel and the OPT,Foreign,Crossfire/Combat-Related
8-Aug-14,Leyla Yildizhan (Deniz Firat),Female,Iraq,Foreign,Crossfire/Combat-Related
30-Jul-14,Sameh al-Aryan,Male,Israel and the OPT,Local,Crossfire/Combat-Related
30-Jul-14,Rami Rayan,Male,Israel and the OPT,Local,Crossfire/Combat-Related
20-Jul-14,Khaled Reyadh Hamad,Male,Israel and the OPT,Local,Crossfire/Combat-Related
27-Jun-14,Mohamed Taani,Male,Syria,Local,Crossfire/Combat-Related
20-Jun-14,Ahmed Hasan Ahmed,Male,Syria,Foreign,Dangerous Assignment
15-Jun-14,Khalid Ali Hamada,Male,Iraq,Local,Crossfire/Combat-Related
4-May-14,Al-Moutaz Bellah Ibrahim,Male,Syria,Local,Murder
25-Apr-14,Mouaz Alomar (Abu Mehdi Al Hamwi),Male,Syria,Local,Crossfire/Combat-Related
31-Mar-14,Bilal Ahmed Bilal,Male,Syria,Local,Dangerous Assignment
28-Mar-14,Mayada Ashraf,Female,Egypt,Local,Crossfire/Combat-Related
10-Mar-14,Muthanna Abdel Hussein,Male,Iraq,Local,Dangerous Assignment
10-Mar-14,Khaled Abdel Thamer,Male,Iraq,Local,Dangerous Assignment
9-Mar-14,Ali Mustafa,Male,Syria,Foreign,Crossfire/Combat-Related
8-Mar-14,Omar Abdul Qader,Male,Syria,Local,Crossfire/Combat-Related
20-Feb-14,Turad Mohamed al-Zahouri,Male,Syria,Local,Crossfire/Combat-Related
20-Jan-14,Firas Mohammed Attiyah,Male,Iraq,Local,Dangerous Assignment
23-Dec-13,Jamal Abdul-Nasser Sami,Male,Iraq,Local,Murder
23-Dec-13,Raad Yassin Al-Baddi,Male,Iraq,Local,Murder
