date,name,sex,country_killed,medium,freelance,local_foreign
October 22 2016,Ali Risan,male,Iraq,Television Internet,No,local
October 21 2016,Ahmet HaceroÄlu,male,Iraq,Television,No,local
August 14 2016,Mustafa Said,male,Iraq,Television,No,local
January 12 2016,Hassan al-Anbaki,male,Iraq,Television,No,local
January 12 2016,Saif Talal,male,Iraq,Television,No,local
September 12 2015,Yahya Abdul Hamid,male,Iraq,Radio,No,local
July 15 2015,Jalaa al-Abadi,male,Iraq,Internet,No,local
May 1 2015,Firas al-Baher,male,Iraq,Television,No,local
April 26 2015,Thaer Al-Ali,male,Iraq,Print,No,local
August 8 2014,Leyla Yildizhan (Deniz Firat),female,Iraq,Television Internet,Yes,foreign
June 15 2014,Khalid Ali Hamada,male,Iraq,Television,No,local
March 10 2014,Muthanna Abdel Hussein,male,Iraq,Television,No,local
March 10 2014,Khaled Abdel Thamer,male,Iraq,Television,No,local
January 20 2014,Firas Mohammed Attiyah,male,Iraq,Television,No,local
December 23 2013,Jamal Abdul-Nasser Sami,male,Iraq,Television,No,local
December 23 2013,Raad Yassin Al-Baddi,male,Iraq,Television,No,local
December 23 2013,Wassan Al-Azzawi,female,Iraq,Television,No,local
December 15 2013,Nawras al-Nuaimi,female,Iraq,Television,No,local
December 5 2013,Kawa Garmyane,male,Iraq,Print Internet,No,local
November 27 2013,Wadih Sa'ad al-Hamdani,male,Iraq,Television,No,local
November 24 2013,Alaa Edward Butros,male,Iraq,Television,Yes,local
October 24 2013,Bashar al-Nuaimi,male,Iraq,Television,No,local
October 5 2013,Mohammed Ghanem,male,Iraq,Television,No,local
October 5 2013,Mohammed Karim al-Badrani,male,Iraq,Television,No,local
September 8 2011,Hadi al-Mahdi,male,Iraq,Radio,Yes,local
June 21 2011,Alwan al-Ghorabi,male,Iraq,Television,No,local
March 29 2011,Sabah al-Bazi,male,Iraq,Television,No,local
March 29 2011,Muammar Khadir Abdelwahad,male,Iraq,Print,No,local
February 24 2011,Mohamed al-Hamdani,male,Iraq,Television,No,local
December 12 2010,Omar Rasim al-Qaysi,male,Iraq,Television,No,local
October 4 2010,Tahrir Kadhim Jawad,male,Iraq,Television,Yes,local
September 8 2010,Safa al-Din Abdel Hamid,male,Iraq,Television,No,local
September 7 2010,Riad al-Saray,male,Iraq,Television,No,local
May 5 2010,Sardasht Osman,male,Iraq,Print Internet,Yes,local
October 21 2009,Orhan Hijran,male,Iraq,Television,No,local
May 31 2009,Alaa Abdel-Wahab,male,Iraq,Television,No,local
March 10 2009,Suhaib Adnan,male,Iraq,Television,No,local
March 10 2009,Haidar Hashim Suhail,male,Iraq,Television,No,local
September 13 2008,Musab Mahmood al-Ezawi,male,Iraq,Television,No,local
September 13 2008,Ahmed Salim,male,Iraq,Television,No,local
September 13 2008,Ihab Mu'd,male,Iraq,Television,No,local
July 21 2008,Soran Mama Hama,male,Iraq,Print,No,local
June 17 2008,Mohieldin Al Naqeeb,male,Iraq,Television,No,local
May 22 2008,Haidar al-Hussein,male,Iraq,Print,No,local
May 21 2008,Wissam Ali Ouda,male,Iraq,Television,No,local
May 4 2008,Sarwa Abdul-Wahab,female,Iraq,Internet,Yes,local
April 25 2008,Jassim al-Batat,male,Iraq,Radio Television,No,local
February 27 2008,Shihab al-Tamimi,male,Iraq,Print Radio Television,No,local
January 29 2008,Alaa Abdul-Karim al-Fartoosi,male,Iraq,Television,No,local
October 28 2007,Shehab Mohammad al-Hiti,male,Iraq,Print,No,local
October 14 2007,Salih Saif Aldin,male,Iraq,Print,No,foreign
September 20 2007,Muhannad Ghanem Ahmad al-Obaidi,male,Iraq,Radio,No,local
September 3 2007,Amer Malallah al-Rashidi,male,Iraq,Television,No,local
July 27 2007,Adnan al-Safi,male,Iraq,Television,No,local
July 16 2007,Majeed Mohammed,male,Iraq,Print,No,local
July 16 2007,Mustafa Gaimayani,male,Iraq,Print,No,local
July 13 2007,Khalid W. Hassan,male,Iraq,Print,No,foreign
July 12 2007,Namir Noor-Eldeen,male,Iraq,Print,No,foreign
June 27 2007,Sarmad Hamdi Shaker,male,Iraq,Television,No,local
June 26 2007,Hamid Abed Sarhan,male,Iraq,Print,Yes,local
June 17 2007,Filaih Wuday Mijthab,male,Iraq,Print,No,local
June 11 2007,Aref Ali Filaih,male,Iraq,Print,Yes,local
June 7 2007,Sahar Hussein Ali al-Haydari,female,Iraq,Print,Yes,local
June 6 2007,Mohammad Hilal Karji,male,Iraq,Television,No,local
May 30 2007,Nazar Abdulwahid al-Radhi,male,Iraq,Print Radio,Yes,local
May 17 2007,Saif Laith Yousuf,male,Iraq,Television,No,local
May 17 2007,Alaa Uldeen Aziz,male,Iraq,Television,No,local
