Number,Type,Date_original,Date_number,Date,Name,Sex,Sex2,Country_killed,Organization,Nationality,Medium,Job,Coverage,Freelance,Local_Foreign,Source_fire,Type_death,Impunity_for_murder,Taken_captive,Threatened,Tortured,
1,"Motive Confirmed","October 22, 2016",2016,"October 22, 2016",Ali Risan,Male,Male,Iraq,Al-Sumaria TV,Iraqi,"Television, Internet",Camera Operator,War,No,Local,Political Group,Crossfire/Combat-Related,,,,"
",
2,Motive Confirmed,"October 21, 2016",2016,"October 21, 2016",Ahmet Haceroğlu,Male,Male,Iraq,Türkmeneli TV,Iraqi,Television,Producer,"Politics, War",No,Local,Political Group,Crossfire/Combat-Related,,,,"
",
3,Motive Confirmed,"October  2, 2016",2016,"October  2, 2016",Jeroen Oerlemans ,Male,Male,Libya,Freelance,Netherlands,"Print, Internet",Photographer,"Politics, War",Yes,Foreign,Political Group,Crossfire/Combat-Related,,,,"
",
4,Motive Confirmed,"August 14, 2016",2016,"August 14, 2016",Mustafa Said,Male,Male,Iraq,Kurdistan TV,Iraqi,Television,Camera Operator,War,No,Local,Unknown Fire,Crossfire/Combat-Related,,No,No,"No
",
5,Motive Confirmed,"August  8, 2016",2016,"August  8, 2016",Mehmood Khan,Male,Male,Pakistan,DawnNews,Pakistani,"Television, Internet",Camera Operator,"Business, Corruption, Crime, Culture, Human Rights, Politics, Sports",No,Local,Political Group,Dangerous Assignment,,No,No,"No
",
6,Motive Confirmed,"August  8, 2016",2016,"August  5, 2016",Mubarak al-Abadi,Male,Male,Yemen,Nabaa Media Foundation,Yemeni,Television,"Broadcast, Camera Operator, Photographer, Producer","Politics, War",No,Local,Political Group,Crossfire/Combat-Related,,,,"
",
7,Motive Confirmed,"August  5, 2016",2016,"August  1, 2016",Mohammed Sayyed Hassan,Male,Male,Syria,"All4Syria, Al-Nabaa Media Center",Syrian,Internet,"Photographer, Editor, Internet Reporter",War,No,Local,Military Officials,Crossfire/Combat-Related,,,,"
",
8,Motive Confirmed,"August  1, 2016",2016,"July 24, 2016",João Miranda do Carmo,Male,Male,Brazil,SAD Sem Censura,Brazilian,Internet,"Editor, Internet Reporter","Corruption, Crime, Politics",No,Local,Criminal Group,Murder,Yes,No,Yes,"No
",
9,Motive Confirmed,"July 24, 2016",2016,"July 21, 2016",Abdelqadir Fassouk,Male,Male,Libya,Arraed Satellite TV,Libyan,"Print, Television","Camera Operator, Photographer",War,No,Local,Political Group,Crossfire/Combat-Related,,,,"
",
10,Motive Confirmed,"July 21, 2016",2016,"July 20, 2016",Pavel Sheremet,Male,Male,Ukraine,"Ukrainska Pravda, Radio Vesti",Russian,"Radio, Internet","Broadcast, Internet Reporter","Corruption, Crime, Politics",No,Foreign,Unknown Fire,Murder,Yes,No,Yes,"No
",
11,Motive Confirmed,"July 20, 2016",2016,,Sami Jawdat Rabah,Male,Male,Syria,Syrian Observatory for Human Rights,Syrian,Internet,"Photographer, Internet Reporter",War,No,Local,Political Group,Murder,Yes,Yes,Yes,"
",
16,Motive Confirmed,"July 14, 2016",2016,"July 11, 2016",Ibrahim Omar,Male,Male,Syria,Al Jazeera,Syrian,Television,Camera Operator,War,No,Local,Military Officials,Crossfire/Combat-Related,,,,"
",
17,Motive Confirmed,"July 11, 2016",2016,"June 25, 2016",Khaled Eissa ,Male,Male,Syria,Freelance,Syrian,"Television, Internet","Camera Operator, Photographer","Human Rights, War",Yes,Local,Unknown Fire,Murder,Yes,No,No,"No
",
18,Motive Confirmed,"June 25, 2016",2016,"June 24, 2016",Khaled al-Zintani ,Male,Male,Libya,Freelance ,Libyan ,"Television, Internet",Photographer,War,Yes,Local,Political Group,Crossfire/Combat-Related,,,,"
",
