sovereignt	iso_n3
Kosovo	-99
Somaliland	-99
Northern Cyprus	-99
Australia	36
Netherlands	533
Afghanistan	4
Angola	24
United Kingdom	660
Finland	248
Albania	8
Andorra	20
United Arab Emirates	784
Argentina	32
Armenia	51
United States of America	16
Antarctica	10
France	260
Antigua and Barbuda	28
Australia	36
Austria	40
Azerbaijan	31
Burundi	108
Belgium	56
Benin	204
Burkina Faso	854
Bangladesh	50
Bulgaria	100
Bahrain	48
The Bahamas	44
Bosnia and Herzegovina	70
France	652
Belarus	112
Belize	84
United Kingdom	60
Bolivia	68
Brazil	76
Barbados	52
Brunei	96
Bhutan	64
Botswana	72
Central African Republic	140
Canada	124
Switzerland	756
Chile	152
China	156
Ivory Coast	384
Cameroon	120
Democratic Republic of the Congo	180
Republic of Congo	178
New Zealand	184
Colombia	170
Comoros	174
Cape Verde	132
Costa Rica	188
Cuba	192
Netherlands	531
United Kingdom	136
Cyprus	196
Czech Republic	203
Germany	276
Djibouti	262
Dominica	212
Denmark	208
Dominican Republic	214
Algeria	12
Ecuador	218
Egypt	818
Eritrea	232
Western Sahara	732
Spain	724
Estonia	233
Ethiopia	231
Finland	246
Fiji	242
United Kingdom	238
France	250
Denmark	234
Federated States of Micronesia	583
Gabon	266
United Kingdom	826
Georgia	268
United Kingdom	831
Ghana	288
Guinea	324
Gambia	270
Guinea Bissau	624
Equatorial Guinea	226
Greece	300
Grenada	308
Denmark	304
Guatemala	320
United States of America	316
Guyana	328
China	344
Australia	334
Honduras	340
Croatia	191
Haiti	332
Hungary	348
Indonesia	360
United Kingdom	833
India	356
United Kingdom	86
Ireland	372
Iran	364
Iraq	368
Iceland	352
Israel	376
Italy	380
Jamaica	388
United Kingdom	832
Jordan	400
Japan	392
Kazakhstan	398
Kenya	404
Kyrgyzstan	417
Cambodia	116
Kiribati	296
Saint Kitts and Nevis	659
South Korea	410
Kuwait	414
Laos	418
Lebanon	422
Liberia	430
Libya	434
Saint Lucia	662
Liechtenstein	438
Sri Lanka	144
Lesotho	426
Lithuania	440
Luxembourg	442
Latvia	428
China	446
France	663
Morocco	504
Monaco	492
Moldova	498
Madagascar	450
Maldives	462
Mexico	484
Marshall Islands	584
Macedonia	807
Mali	466
Malta	470
Myanmar	104
Montenegro	499
Mongolia	496
United States of America	580
Mozambique	508
Mauritania	478
United Kingdom	500
Mauritius	480
Malawi	454
Malaysia	458
Namibia	516
France	540
Niger	562
Australia	574
Nigeria	566
Nicaragua	558
New Zealand	570
Netherlands	528
Norway	578
Nepal	524
Nauru	520
New Zealand	554
Oman	512
Pakistan	586
Panama	591
United Kingdom	612
Peru	604
Philippines	608
Palau	585
Papua New Guinea	598
Poland	616
United States of America	630
North Korea	408
Portugal	620
Paraguay	600
Israel	275
France	258
Qatar	634
Romania	642
Russia	643
Rwanda	646
Saudi Arabia	682
Sudan	729
Senegal	686
Singapore	702
United Kingdom	239
United Kingdom	654
Solomon Islands	90
Sierra Leone	694
El Salvador	222
San Marino	674
Somalia	706
France	666
Republic of Serbia	688
South Sudan	728
Sao Tome and Principe	678
Suriname	740
Slovakia	703
Slovenia	705
Sweden	752
Swaziland	748
Netherlands	534
Seychelles	690
Syria	760
United Kingdom	796
Chad	148
Togo	768
Thailand	764
Tajikistan	762
Turkmenistan	795
East Timor	626
Tonga	776
Trinidad and Tobago	780
Tunisia	788
Turkey	792
Taiwan	158
United Republic of Tanzania	834
Uganda	800
Ukraine	804
Uruguay	858
United States of America	840
Uzbekistan	860
Vatican	336
Saint Vincent and the Grenadines	670
Venezuela	862
United Kingdom	092
United States of America	850
Vietnam	704
Vanuatu	548
France	876
Samoa	882
Yemen	887
South Africa	710
Zambia	894
Zimbabwe	716
