date,name,sex,country_killed,medium,freelance,local_foreign
October 22 2016,Ali Risan,male,Iraq,Television Internet,No,local
October 21 2016,Ahmet Hacero��lu,male,Iraq,Television,No,local
October 2 2016,Jeroen Oerlemans ,male,Libya,Print Internet,Yes,foreign
August 14 2016,Mustafa Said,male,Iraq,Television,No,local
August 8 2016,Mehmood Khan,male,Pakistan,Television Internet,No,local
August 5 2016,Mubarak al-Abadi,male,Yemen,Television,No,local
August 1 2016,Mohammed Sayyed Hassan,male,Syria,Internet,No,local
July 24 2016,Jọo Miranda do Carmo,male,Brazil,Internet,No,local
July 21 2016,Abdelqadir Fassouk,male,Libya,Print Television,No,local
July 20 2016,Pavel Sheremet,male,Ukraine,Radio Internet,No,foreign
July 14 2016,Abdullah Mohammad Ghannam,male,Syria,Internet,No,local
July 11 2016,Ibrahim Omar,male,Syria,Television,No,local
June 25 2016,Khaled Eissa ,male,Syria,Television Internet,Yes,local
June 24 2016,Khaled al-Zintani ,male,Libya,Television Internet,Yes,local
June 19 2016,Elidio Ramos Z��rate,male,Mexico,Print,No,local
June 5 2016,David Gilkey,male,Afghanistan,Radio Internet,No,foreign
June 5 2016,Zabihullah Tamanna,male,Afghanistan,Print Radio Internet,Yes,local
June 5 2016,Osama Jumaa,male,Syria,Television Internet,No,local
May 13 2016,Rajdev Ranjan,male,India,Print,No,local
April 12 2016,Zaher al-Shurqat,male,Turkey,Internet,No,foreign
March 21 2016,Mohammed Ghalib al-Majidi,male,Yemen,Internet,Yes,local
February 19 2016,Majid Dirani,male,Syria,Internet,Yes,local
February 16 2016,Ahmed al-Shaibani,male,Yemen,Television Internet,Yes,local
February 13 2016,Karun Misra,male,India,Print,No,local
February 5 2016,El-Hadj Mohamed Diallo ,male,Guinea,Internet,No,local
January 22 2016,Medium,male,Yemen,Television,No,local
January 21 2016,Marcos Hern��ndez Bautista ,male,Mexico,Print Radio,No,local
January 17 2016,Almigdad Mojalli,male,Yemen,Print Internet,Yes,local
January 12 2016,Hassan al-Anbaki,male,Iraq,Television,No,local
January 12 2016,Saif Talal,male,Iraq,Television,No,local
December 27 2015,Naji Jerf,male,Turkey,Internet,No,foreign
December 16 2015,Ahmed Mohamed al-Mousa,male,Syria,Internet,No,local
December 7 2015,Zakaria Ibrahim,male,Syria,Television,No,local
December 3 2015,Hindia Haji Mohamed,female,Somalia,Radio Television,No,local
November 13 2015,Guillaume Barreau-Decherf,male,France,Print,Yes,local
November 13 2015,talo Eduardo Diniz Barros,male,Brazil,Internet,No,local
November 10 2015,Israel Gon̤alves Silva,male,Brazil,Radio,No,local
November 6 2015,Ahmed Abu al-Hamza,male,Syria,Internet,No,local
November 3 2015,Batoul Mokhles al-Warrar,female,Syria,Radio Television,No,local
November 3 2015,Zaman Mehsud,male,Pakistan,Print,Yes,local
November 1 2015,Mustaf Abdi Noor ,male,Somalia,Television Internet,Yes,local
October 31 2015,Faisal Arefin Dipan,male,Bangladesh,Print,No,local
October 30 2015,Fares Hamadi,male,Turkey,Print Internet,No,foreign
October 30 2015,Ibrahim Abd al-Qader,male,Turkey,Print Internet,No,foreign
October 27 2015,Jomaa Al-Ahmad (Abu al-Nour al-Halabi),male,Syria,Internet,No,local
October 23 2015,Wasem Aledel,male,Syria,Television Internet,No,local
September 26 2015,Obada Ghazal,male,Syria,Television,No,local
September 17 2015,Bilal Sharaf al-Deen,male,Yemen,Television,No,local
September 12 2015,Yahya Abdul Hamid,male,Iraq,Radio,No,local
September 10 2015,George Abanga,male,Ghana,Radio,No,local
September 10 2015,Flor Alba N̼̱ez Vargas,female,Colombia,Radio,No,local
August 26 2015,Adam Ward,male,USA,Television,No,local
August 26 2015,Alison Parker,female,USA,Television,No,local
August 7 2015,Niloy Neel,male,Bangladesh,Internet,Yes,local
August 6 2015,Gleydson Carvalho,male,Brazil,Radio,No,local
July 31 2015,Rub̩n Espinosa Becerril,male,Mexico,Print,No,local
July 27 2015,Thaer al-Ajlani,male,Syria,Print Radio Television,Yes,local
July 15 2015,Jalaa al-Abadi,male,Iraq,Internet,No,local
July 2 2015,Filadelfo S��nchez Sarmiento,male,Mexico,Print Radio,No,local
June 26 2015,Mohammed al-Asfar,male,Syria,Television,No,local
June 8 2015,Jagendra Singh,male,India,Print Internet,Yes,local
May 31 2015,Ammar al-Shami,male,Syria,Internet,No,local
May 21 2015,Abdullah Qabil,male,Yemen,Television,No,local
May 21 2015,Youssef al-Ayzari,male,Yemen,Television,No,local
May 12 2015,Ananta Bijoy Das,male,Bangladesh,Print Internet,Yes,local
May 1 2015,Firas al-Baher,male,Iraq,Television,No,local
April 30 2015,John Kituyi,male,Kenya,Print,No,local
April 29 2015,Daud Ali Omar,male,Somalia,Television,No,local
April 26 2015,Thaer Al-Ali,male,Iraq,Print,No,local
April 22 2015,Muftah al-Qatrani,male,Libya,Television,No,local
April 20 2015,Mohamed Shamsan,male,Yemen,Television,No,local
April 16 2015,Humam Najjar (Abu Yazan al-Halabi),male,Syria,Television Internet,No,local
April 16 2015,Soleil Balanga,male,Democratic Republic of the Congo,Radio,No,local
April 1 2015,Jamal Khalifeh,male,Syria,Internet,Yes,local
March 30 2015,Washiqur Rahman Babu,male,Bangladesh,Internet,Yes,local
March 10 2015,Danilo L�_pez,male,Guatemala,Print,No,local
March 8 2015,Noureddine Hashim,male,Syria,Television Internet,No,local
March 5 2015,Gerardo Ceferino Serv�_an,male,Brazil,Radio,No,foreign
February 28 2015,Serhiy Nikolayev,male,Ukraine,Print,No,local
February 26 2015,Avijit Roy,male,Bangladesh,Print Internet,Yes,foreign
January 25 2015,Randa George,female,South Sudan,Radio,No,local
January 25 2015,Dalia Marko,female,South Sudan,Radio,No,local
January 25 2015,Musa Mohamed,male,South Sudan,Radio,No,local
January 25 2015,Boutros Martin,male,South Sudan,Television,No,local
January 25 2015,Adam Juma,male,South Sudan,Radio,No,local
January 7 2015,Bernard Maris,male,France,Print Internet,Yes,local
January 7 2015,Georges Wolinski,male,France,Print Internet,No,local
January 7 2015,Jean Cabut (Cabu),male,France,Print Internet,No,local
January 7 2015,Stephane Charbonnier (Charb),male,France,Print Internet,No,local
January 7 2015,Bernard Verlhac (Tignous),male,France,Print Internet,Yes,local
January 7 2015,Elsa Cayat,female,France,Print Internet,Yes,local
January 7 2015,Moustapha Ourrad,male,France,Print Internet,No,local
January 7 2015,Philippe Honor̩,male,France,Print Internet,Yes,local
January 4 2015,Khaled al-Washli,male,Yemen,Television,No,local
January 2 2015,Jos̩ Mois̩s S��nchez Cerezo ,male,Mexico,Print Internet,No,local
December 23 2014,Marcos de Barros Leopoldo Guerra,male,Brazil,Internet,No,local
December 21 2014,Zubair Hatami,male,Afghanistan,Television,No,local
December 10 2014,Mahran al-Deeri,male,Syria,Internet,No,local
December 8 2014,Salem Khalil,male,Syria,Television Internet,No,local
December 8 2014,Rami Asmi,male,Syria,Television Internet,No,local
December 8 2014,Yousef el-Dous,male,Syria,Television Internet,No,local
December 6 2014,Luke Somers,male,Yemen,Print Internet,Yes,foreign
December 5 2014,Mohamed Isaq,male,Somalia,Television,No,local
December 5 2014,Abdulkadir Ahmed,male,Somalia,Radio Television,Yes,local
November 26 2014,MVN Shankar,male,India,Print,No,local
November 22 2014,Zaher Mtawe'e,male,Syria,Internet,No,local
November 16 2014,Abdirizak Ali Abdi,male,Somalia,Radio Television,Yes,local
October 16 2014,Pablo Medina Vel��zquez,male,Paraguay,Print,No,local
October 15 2014,Atallah Bajbouj,male,Syria,Internet,No,local
September 16 2014,Facely Camara,male,Guinea,Radio,No,local
September 10 2014,Mohammed al-Qasim,male,Syria,Radio Television Internet,No,local
August 28 2014,Irshad Mastoi,male,Pakistan,Print Television,No,local
August 28 2014,Ghulam Rasool,male,Pakistan,Print,No,local
August 13 2014,Simone Camilli,male,Israel and the Occupied Palestinian Territory,Television Internet,No,foreign
August 11 2014,Octavio Rojas Hern��ndez,male,Mexico,Print,No,local
August 8 2014,Leyla Yildizhan (Deniz Firat),female,Iraq,Television Internet,Yes,foreign
August 6 2014,Andrei Stenin,male,Ukraine,Print Internet,No,foreign
July 30 2014,Sameh al-Aryan,male,Israel and the Occupied Palestinian Territory,Television,No,local
July 30 2014,Rami Rayan,male,Israel and the Occupied Palestinian Territory,Print Television Internet,No,local
July 20 2014,Khaled Reyadh Hamad,male,Israel and the Occupied Palestinian Territory,Television,No,local
June 30 2014,Anatoly Klyan,male,Ukraine,Television,No,foreign
June 27 2014,Mohamed Taani,male,Syria,Internet,No,local
June 21 2014,Yusuf Ahmed Abukar,male,Somalia,Radio,No,local
June 20 2014,Ahmed Hasan Ahmed,male,Syria,Internet,No,foreign
June 19 2014,Edgar Pantale�_n Fern��ndez Fleitas,male,Paraguay,Radio,No,local
June 17 2014,Igor Kornelyuk,male,Ukraine,Television,No,foreign
June 15 2014,Khalid Ali Hamada,male,Iraq,Television,No,local
May 27 2014,Tarun Kumar Acharya,male,India,Print Television,No,local
May 26 2014,Muftah Bu Zeid,male,Libya,Print Internet,No,local
May 24 2014,Andrea Rocchelli,male,Ukraine,Print Internet,No,foreign
May 21 2014,Sadrul Alam Nipul,male,Bangladesh,Print,No,local
May 16 2014,Fausto Gabriel Alcaraz Garay,male,Paraguay,Radio,No,local
May 4 2014,Al-Moutaz Bellah Ibrahim,male,Syria,Radio Television,Yes,local
April 25 2014,Mouaz Alomar (Abu Mehdi Al Hamwi),male,Syria,Television Internet,Yes,local
April 6 2014,Rubylita Garcia,female,Philippines,Print Radio,No,local
April 4 2014,Anja Niedringhaus,female,Afghanistan,Print Internet,No,foreign
March 28 2014,Mayada Ashraf,female,Egypt,Print Internet,No,local
March 11 2014,Nils Horner,male,Afghanistan,Radio,No,foreign
March 10 2014,Muthanna Abdel Hussein,male,Iraq,Television,No,local
March 10 2014,Khaled Abdel Thamer,male,Iraq,Television,No,local
March 9 2014,Ali Mustafa,male,Syria,Print Internet,Yes,foreign
March 8 2014,Omar Abdul Qader,male,Syria,Television,No,local
February 20 2014,Turad Mohamed al-Zahouri,male,Syria,Internet,Yes,local
February 19 2014,Vyacheslav Veremiy,male,Ukraine,Print Internet,No,local
February 16 2014,Germain Kennedy Mumbere Muliwavyo,male,Democratic Republic of the Congo,Radio Television,No,local
February 13 2014,Pedro Palma,male,Brazil,Print,No,local
February 10 2014,Santiago Il�_dio Andrade,male,Brazil,Television,No,local
January 20 2014,Firas Mohammed Attiyah,male,Iraq,Television,No,local
January 13 2014,Michael Tshele,male,South Africa,Print Internet,Yes,local
January 1 2014,Shan Dahar,male,Pakistan,Television,No,local
December 23 2013,Jamal Abdul-Nasser Sami,male,Iraq,Television,No,local
December 23 2013,Raad Yassin Al-Baddi,male,Iraq,Television,No,local
December 23 2013,Wassan Al-Azzawi,female,Iraq,Television,No,local
December 20 2013,Molhem Barakat,male,Syria,Print Internet,Yes,local
December 15 2013,Nawras al-Nuaimi,female,Iraq,Television,No,local
December 6 2013,Sai Reddy,male,India,Print,No,local
December 5 2013,Kawa Garmyane,male,Iraq,Print Internet,No,local
December 4 2013,Yasser Faisal al-Jumaili,male,Syria,Television,Yes,foreign
November 29 2013,Joas Dignos,male,Philippines,Radio,No,local
November 27 2013,Wadih Sa'ad al-Hamdani,male,Iraq,Television,No,local
November 24 2013,Mohamed Yamen Naddaf,male,Syria,Internet,No,local
November 24 2013,Alaa Edward Butros,male,Iraq,Television,Yes,local
November 19 2013,Mohamed Ahmed Taysir Bellou,male,Syria,Internet,No,local
November 18 2013,Saleh Ayyad Hafyana,male,Libya,Internet,No,local
November 2 2013,Claude Verlon,male,Mali,Radio,No,foreign
November 2 2013,Ghislaine Dupont,female,Mali,Radio,No,foreign
October 29 2013,Mohammad Saeed,male,Syria,Television,No,local
October 26 2013,Mohamed Mohamud,male,Somalia,Television,No,local
October 24 2013,Bashar al-Nuaimi,male,Iraq,Television,No,local
October 11 2013,Ayub Khattak,male,Pakistan,Print,No,local
October 5 2013,Mohammed Ghanem,male,Iraq,Television,No,local
October 5 2013,Mohammed Karim al-Badrani,male,Iraq,Television,No,local
September 29 2013,Nour al-Din Al-Hafiri,male,Syria,Television Internet,Yes,local
September 11 2013,̉dison Alberto Molina,male,Colombia,Radio,No,local
September 7 2013,Rajesh Verma,male,India,Television,No,local
September 5 2013,Abdel Aziz Mahmoud Hasoun,male,Syria,Internet,No,local
August 29 2013,Fernando Solijon,male,Philippines,Radio,No,local
August 23 2013,Rakesh Sharma,male,India,Print,No,local
August 20 2013,Narendra Dabholkar,male,India,Print,No,local
August 20 2013,Muhammad Hassan Al-Musalama,male,Syria,Internet,Yes,local
August 19 2013,Tamer Abdel Raouf,male,Egypt,Print,No,local
August 16 2013,Shahir al-Muaddamani,male,Syria,Internet,Yes,local
August 14 2013,Mosaab al-Shami,male,Egypt,Internet,No,local
August 14 2013,Ahmed Abdel Gawad,male,Egypt,Print Television,No,local
August 14 2013,Mick Deane,male,Egypt,Television,No,foreign
August 14 2013,Habiba Ahmed Abd Elaziz,female,Egypt,Television,Yes,local
August 1 2013,Mario Sy,male,Philippines,Print,Yes,local
July 27 2013,Muhammed Tariq Jadua,male,Syria,Television Internet,Yes,local
July 9 2013,Akhmednabi Akhmednabiyev,male,Russia,Internet,No,local
July 8 2013,Ahmed Assem el-Senousy,male,Egypt,Print Internet,No,local
July 7 2013,Liban Abdullahi Farah,male,Somalia,Television,No,local
July 5 2013,Fidaa al-Baali,male,Syria,Television,No,local
June 29 2013,Salah al-Din Hassan,male,Egypt,Internet,No,local
June 11 2013,Jos̩ Roberto Ornelas de Lemos,male,Brazil,Print,No,local
May 27 2013,Yara Abbas,female,Syria,Television,No,local
April 24 2013,Youssef Younis,male,Syria,Internet,Yes,local
April 21 2013,Mohamed Ibrahim Raage,male,Somalia,Radio Television,No,local
April 16 2013,Aslam Durrani,male,Pakistan,Print,No,local
April 14 2013,Walgney Assis Carvalho,male,Brazil,Print,Yes,local
April 8 2013,Mikhail Beketov,male,Russia,Print,No,local
March 29 2013,Amer Diab,male,Syria,Internet,Yes,local
March 14 2013,Mahmoud Natouf,male,Syria,Internet,No,local
March 10 2013,Ghaith Abd al-Jawad,male,Syria,Internet,Yes,local
March 10 2013,Amr Badir al-Deen Junaid,male,Syria,Internet,Yes,local
March 8 2013,Rodrigo Neto,male,Brazil,Print Radio,No,local
March 3 2013,Walid Jamil Amira,male,Syria,Internet,Yes,local
February 24 2013,Olivier Voisin,male,Syria,Print Internet,Yes,foreign
February 22 2013,Mafaldo Bezerra Goes,male,Brazil,Radio,No,local
